$$$Excess Heat Capacity Data Set 111	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C16H34	226.446	544-76-3	Hexadecane	
Temperature	298.20	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
-1.9700	0.08840	
-4.4600	0.23110	
-6.4200	0.39710	
-7.0700	0.49600	
-7.2700	0.58590	
-6.4400	0.74980	
-3.7900	0.90060	
Source	
Costas M.; Patterson D.: Excess Heat Capacities of Some Normal Alkanes (C6 - C16) + Benzene, + Toluene, or + 1,4-Dimethylbenzene. Int.Data Series Sel.Data Mixtures Ser. A 1985 (1985) 212-223	
Source	
Costas M.; Patterson D.: Excess Heat Capacities of Some Normal Alkanes (C6 - C16) + Benzene, + Toluene, or + 1,4-Dimethylbenzene. Int.Data Series Sel.Data Mixtures Ser. A 1985 (1985) 212-223	
