$$$Excess Heat Capacity Data Set 2864	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	CH4O	32.042	67-56-1	Methanol	
Temperature	298.15	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
0.6800	0.09890	
1.1400	0.19500	
1.5500	0.29670	
1.8400	0.40060	
2.2200	0.48480	
2.2600	0.59990	
2.1700	0.69680	
1.7600	0.79260	
1.0300	0.89460	
Source	
Chavez H.; Pineiro A.; Brocos P.: Thermodynamics of Mixing Tetrahydrofuran with 1-Alkanols and Excess Enthalpies of Homomorphy-Related Systems. J.Chem.Eng.Data 52 (2007) 2298-2305	
Source	
Chavez H.; Pineiro A.; Brocos P.: Thermodynamics of Mixing Tetrahydrofuran with 1-Alkanols and Excess Enthalpies of Homomorphy-Related Systems. J.Chem.Eng.Data 52 (2007) 2298-2305	
