$$$Excess Heat Capacity Data Set 557	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C2H4O2	60.053	64-19-7	Acetic acid	
Temperature	298.65	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
1.2979	0.18200	
1.6328	0.20800	
1.4654	0.31500	
2.3027	0.41900	
2.4283	0.42300	
2.0934	0.56500	
1.2979	0.76300	
Source	
Campbell A.N.; Gieskes J.M.T.M.: Heats of Mixing and Heat Capacities in the System: Acetic Acid-Chloroform-Water, at 25°. Can.J.Chem. 43 (1965) 1004-1011	
Source	
Campbell A.N.; Gieskes J.M.T.M.: Heats of Mixing and Heat Capacities in the System: Acetic Acid-Chloroform-Water, at 25°. Can.J.Chem. 43 (1965) 1004-1011	
