$$$Excess Heat Capacity Data Set 568	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C6H6	78.114	71-43-2	Benzene	
Temperature	298.15	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
0.1090	0.05000	
0.1600	0.10001	
0.1540	0.20001	
0.1080	0.30002	
-0.0030	0.40002	
-0.1370	0.50002	
-0.2350	0.60001	
-0.3030	0.70002	
-0.3670	0.80001	
-0.3220	0.90001	
-0.2180	0.95000	
Source	
Yamanaka K.; Ogawa H.; Murakami S.: Excess Molar Isobaric Heat Capacities of Mixtures of 2-Propane with Heptane, Benzene, and Trichloromethane at 298.15 K. Thermochim.Acta 169 (1990) 193-201	
Source	
Yamanaka K.; Ogawa H.; Murakami S.: Excess Molar Isobaric Heat Capacities of Mixtures of 2-Propane with Heptane, Benzene, and Trichloromethane at 298.15 K. Thermochim.Acta 169 (1990) 193-201	
