$$$Excess Heat Capacity Data Set 359	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	298.15	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
-0.4530	0.03460	
-0.7400	0.07000	
-0.9370	0.10180	
-1.0540	0.13220	
-1.1450	0.16630	
-1.2220	0.22100	
-1.2290	0.30340	
-1.2030	0.39810	
-1.1400	0.49690	
-1.0710	0.61160	
-1.0100	0.68630	
-0.7420	0.80220	
-0.6820	0.84170	
-0.4310	0.89650	
-0.1590	0.94890	
-0.0910	0.96070	
-0.2340	0.97040	
-0.1750	0.98110	
-0.1190	0.99000	
Source	
Jimenez E.; Romani L.; Paz Andrade M.I.; Roux-Desgranges G.; Grolier J.-P.: Molar Excess Heat Capacities and Volumes for Mixtures of Alkanoates with Cyclohexane at 25 ° C. J.Solution Chem. 15 (1986) 879-890	
Source	
Jimenez E.; Romani L.; Paz Andrade M.I.; Roux-Desgranges G.; Grolier J.-P.: Molar Excess Heat Capacities and Volumes for Mixtures of Alkanoates with Cyclohexane at 25 ° C. J.Solution Chem. 15 (1986) 879-890	
