$$$Excess Heat Capacity Data Set 750
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O	46.069	64-17-5	Ethanol
2	C16H34	226.446	544-76-3	Hexadecane
Temperature	298.15	K
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]
0.0950	0.00278
0.2600	0.00490
0.4900	0.00604
0.7200	0.00758
1.4800	0.01025
2.1000	0.01120
2.8300	0.01304
3.5400	0.01544
5.3600	0.01854
6.9800	0.02594
9.0300	0.03578
11.2700	0.05120
12.9400	0.07047
13.8000	0.08346
14.4400	0.09791
15.0800	0.11362
15.8100	0.13793
16.5300	0.17608
16.9300	0.22126
17.2600	0.27195
1.6500	0.96075
1.4600	0.96578
1.2800	0.97064
1.1300	0.97460
0.8800	0.98049
0.6900	0.98545
0.4900	0.99052
0.2800	0.99515
Source
Roux A.H.; Roux-Desgranges G.; Grolier J.-P.E.: Excess Molar Heat Capacities and Enthalpies for 1-Alkanol + N-Alkane Binary Mixtures. New Measurements and Recommended Data. Fluid Phase Equilib. 89 (1993) 57-88
Source
Roux A.H.; Roux-Desgranges G.; Grolier J.-P.E.: Excess Molar Heat Capacities and Enthalpies for 1-Alkanol + N-Alkane Binary Mixtures. New Measurements and Recommended Data. Fluid Phase Equilib. 89 (1993) 57-88
