$$$Excess Heat Capacity Data Set 979
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C6H6	78.114	71-43-2	Benzene
Temperature	298.15	K
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]
-0.0046	0.05241
-0.0163	0.08062
-0.0306	0.14451
0.0319	0.20312
0.1080	0.25975
0.4378	0.41618
0.6590	0.52199
0.7643	0.61445
0.7984	0.69814
0.6698	0.79493
0.5365	0.85978
0.3904	0.92281
Source
Grolier J.-P.E.; Roux-Desgranges G.; Kooner Z.S.; Smith J.F.; Hepler L.G.: Thermal and Volumetric Properties of Chloroform + Benzene Mixtures and the Ideal Associated Solution Model of Complex Formation. J.Solution Chem. 16 (1987) 745-752
Source
Grolier J.-P.E.; Roux-Desgranges G.; Kooner Z.S.; Smith J.F.; Hepler L.G.: Thermal and Volumetric Properties of Chloroform + Benzene Mixtures and the Ideal Associated Solution Model of Complex Formation. J.Solution Chem. 16 (1987) 745-752
