$$$Excess Heat Capacity Data Set 121	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C8H10	106.167	106-42-3	p-Xylene	
2	C16H34	226.446	544-76-3	Hexadecane	
Temperature	298.20	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
-0.6300	0.10020	
-1.4100	0.24710	
-1.9000	0.39390	
-2.1400	0.49380	
-2.2000	0.59790	
-1.9500	0.75340	
-1.1100	0.90210	
Source	
Costas M.; Patterson D.: Excess Heat Capacities of Some Normal Alkanes (C6 - C16) + Benzene, + Toluene, or + 1,4-Dimethylbenzene. Int.Data Series Sel.Data Mixtures Ser. A 1985 (1985) 212-223	
Source	
Costas M.; Patterson D.: Excess Heat Capacities of Some Normal Alkanes (C6 - C16) + Benzene, + Toluene, or + 1,4-Dimethylbenzene. Int.Data Series Sel.Data Mixtures Ser. A 1985 (1985) 212-223	
