$$$Excess Heat Capacity Data Set 1146
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	C4H10O	74.123	71-36-3	1-Butanol
Temperature	293.15	K
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]
4.5522	0.11920
7.8509	0.26860
8.4578	0.33590
10.3976	0.44850
8.1273	0.59480
13.2117	0.68760
13.0486	0.78590
10.4659	0.91680
Source
Perrakis N.: Les propriétés physiques des mélanges doubles liquides dans le voisinage de l'état critique de miscibilité. J.Chim.Phys. 22 (1925) 280-310
Source
Perrakis N.: Les propriétés physiques des mélanges doubles liquides dans le voisinage de l'état critique de miscibilité. J.Chim.Phys. 22 (1925) 280-310
