$$$Excess Heat Capacity Data Set 2867
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O	72.107	109-99-9	Tetrahydrofuran
2	C4H10O	74.123	71-36-3	1-Butanol
Temperature	298.15	K
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]
0.0100	0.04560
0.1400	0.09510
0.5500	0.19350
0.9800	0.29970
1.2300	0.39630
1.3700	0.50090
1.3400	0.59880
1.1500	0.69620
0.7400	0.80120
0.2700	0.90170
0.1000	0.94720
Source
Chavez H.; Pineiro A.; Brocos P.: Thermodynamics of Mixing Tetrahydrofuran with 1-Alkanols and Excess Enthalpies of Homomorphy-Related Systems. J.Chem.Eng.Data 52 (2007) 2298-2305
Source
Chavez H.; Pineiro A.; Brocos P.: Thermodynamics of Mixing Tetrahydrofuran with 1-Alkanols and Excess Enthalpies of Homomorphy-Related Systems. J.Chem.Eng.Data 52 (2007) 2298-2305
