$$$Enthalpy of Mixing Data Set 5041
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C2H3N	41.053	75-05-8	Acetonitrile
3	C6H6	78.114	71-43-2	Benzene
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
421.000	0.01780	0.24550
549.900	0.03790	0.24050
706.800	0.07200	0.23200
894.600	0.14560	0.21360
984.500	0.24210	0.18950
993.000	0.30320	0.17420
972.300	0.37190	0.15700
915.400	0.45250	0.13690
848.300	0.52080	0.11980
782.300	0.57500	0.10620
722.000	0.61880	0.09530
681.200	0.64620	0.08840
613.200	0.68860	0.07780
525.600	0.73950	0.09510
451.700	0.77990	0.05500
389.600	0.81250	0.04690
334.300	0.84060	0.03980
302.800	0.85640	0.03590
553.000	0.01700	0.49270
680.400	0.04060	0.48080
818.200	0.07280	0.46470
946.400	0.11370	0.44420
1044.000	0.15880	0.42160
1128.100	0.22610	0.38790
1161.700	0.30610	0.34780
1141.700	0.38850	0.30650
1090.400	0.45790	0.27170
1008.000	0.53240	0.23430
917.100	0.59630	0.20230
847.300	0.53850	0.18120
814.300	0.65710	0.17190
728.500	0.70250	0.14910
672.800	0.73010	0.13530
616.700	0.75930	0.12060
549.900	0.78900	0.10570
484.200	0.81710	0.09170
430.800	0.83920	0.08060
478.300	0.01350	0.73950
609.200	0.03670	0.72210
782.500	0.07690	0.69200
901.600	0.11210	0.66550
1040.000	0.17080	0.62150
1140.900	0.23590	0.57270
1185.700	0.28970	0.53240
1203.400	0.36770	0.47400
1166.800	0.45400	0.40920
1109.500	0.51790	0.36140
1049.400	0.56670	0.32480
1037.500	0.57600	0.31790
979.700	0.61440	0.28900
905.300	0.65800	0.25640
818.900	0.70290	0.22270
741.000	0.73950	0.19520
671.600	0.76990	0.17250
630.200	0.78720	0.15950
Source
Nagata I.; Tamura K.: Excess Enthalpies of Binary and Ternary Mixtures of Acetonitrile with Methanol, Ethanol and Benzene. Fluid Phase Equilib. 24 (1985) 289-306
Source
Nagata I.; Tamura K.: Excess Enthalpies of Binary and Ternary Mixtures of Acetonitrile with Methanol, Ethanol and Benzene. Fluid Phase Equilib. 24 (1985) 289-306
