$$$Enthalpy of Mixing Data Set 19745
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H4O2	60.053	64-19-7	Acetic acid
2	C8H10	106.167	108-38-3	m-Xylene
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
108.440	0.14500
171.620	0.25300
213.360	0.33700
240.300	0.40400
259.340	0.45800
275.110	0.50400
287.100	0.54240
296.050	0.57500
305.000	0.77300
297.000	0.79540
285.180	0.81940
267.380	0.84500
242.320	0.87200
207.310	0.90070
158.810	0.93150
91.940	0.96460
Source
Katyal R.C.; Sethi B.P.S.; Raju K.S.N.: Enthalpies of Mixing and Viscosities of Binary Systems Acetic Acid with o-, m-, p-Xylene at 298,15 K. Indian J.Technol. 29 (1991) 200-204
Source
Katyal R.C.; Sethi B.P.S.; Raju K.S.N.: Enthalpies of Mixing and Viscosities of Binary Systems Acetic Acid with o-, m-, p-Xylene at 298,15 K. Indian J.Technol. 29 (1991) 200-204
