$$$Enthalpy of Mixing Data Set 2752
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	592-41-6	1-Hexene
2	C6H6	78.114	71-43-2	Benzene
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
276.600	0.11160
398.300	0.17910
493.100	0.25590
556.000	0.33020
588.900	0.40920
591.500	0.49500
558.400	0.58420
489.000	0.68680
374.500	0.78840
283.100	0.85370
Source
Karbalai Ghassemi M.H.; Grolier J.-P.E.: Excess Enthalpy. Int.Data Series Sel.Data Mixtures Ser. A 1975 (1975) 186-190
$$$Enthalpy of Mixing Data Set 2753
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	592-41-6	1-Hexene
2	C6H6	78.114	71-43-2	Benzene
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
340.700	0.16210
414.400	0.21350
431.500	0.22810
500.700	0.35050
515.300	0.38850
533.600	0.47970
533.100	0.50800
528.000	0.53370
526.700	0.53790
524.200	0.54060
497.500	0.61980
389.800	0.73100
353.600	0.75920
331.400	0.77670
Source
Letcher T.M.; Sack J.: The Excess Enthalpy of Mixing of Some Hydrocarbon Mixtures. J.S.Afr.Chem.Inst. 28 (1975) 316-320
$$$Enthalpy of Mixing Data Set 8916
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	592-41-6	1-Hexene
2	C6H6	78.114	71-43-2	Benzene
Temperature	363.130	K
Pressure	24.120	bar
hE [J/mol]	x1 [mol/mol]
74.754	0.03640
144.772	0.07380
213.829	0.11230
272.476	0.15200
369.617	0.23500
435.676	0.32330
468.619	0.41750
468.086	0.41750
462.303	0.51810
415.640	0.62580
380.504	0.68260
326.189	0.74140
264.082	0.80240
180.553	0.86580
95.243	0.93160
Source
Gmehling J.: unpublished data. Unpublished Data  (2011) 1-43
Source
Gmehling J.: unpublished data. Unpublished Data  (2011) 1-43
Karbalai Ghassemi M.H.; Grolier J.-P.E.: Excess Enthalpy. Int.Data Series Sel.Data Mixtures Ser. A 1975 (1975) 186-190
Letcher T.M.; Sack J.: The Excess Enthalpy of Mixing of Some Hydrocarbon Mixtures. J.S.Afr.Chem.Inst. 28 (1975) 316-320
