$$$Enthalpy of Mixing Data Set 720	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C4H8O2S	120.172	126-33-0	Sulfolane	
Temperature	303.150	K	
hE [J/mol]	x1 [mol/mol]	
485.668	0.10000	
1025.770	0.21200	
1431.890	0.40100	
1519.810	0.43700	
1553.300	0.60300	
1423.510	0.69700	
1193.240	0.79900	
263.768	0.96800	
Source	
Tommila E.; Lindell E.; Virtalaine M.-L.; Laakso R.: Densities, Viscosities, Surface Tensions, Dielectric Constants, Vapour Pressures, Activities, and Heats of Mixing of Sulpholane-Water, Sulpholane-Methanol, and Sulpholane-Ethanol Mixtures. Suom.Kemistil. 42 (1969) 95-104	
Source	
Tommila E.; Lindell E.; Virtalaine M.-L.; Laakso R.: Densities, Viscosities, Surface Tensions, Dielectric Constants, Vapour Pressures, Activities, and Heats of Mixing of Sulpholane-Water, Sulpholane-Methanol, and Sulpholane-Ethanol Mixtures. Suom.Kemistil. 42 (1969) 95-104	
