$$$Enthalpy of Mixing Data Set 3973
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	C6H12	84.161	110-82-7	Cyclohexane
3	C3H8O	60.096	67-63-0	2-Propanol
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
698.500	0.24830	0.74510
917.200	0.24150	0.72450
1053.300	0.23000	0.69020
1163.200	0.21350	0.64060
1224.200	0.19680	0.59030
1248.500	0.18050	0.54150
1236.400	0.16130	0.48380
1190.700	0.14400	0.43190
1122.700	0.12790	0.38380
1035.900	0.11240	0.33730
940.600	0.09820	0.29470
889.700	0.09110	0.27340
798.000	0.07590	0.24200
708.600	0.06890	0.20690
637.500	0.06100	0.18320
570.500	0.05390	0.16160
519.700	0.04860	0.14580
491.300	0.04580	0.13720
390.300	0.03570	0.10700
324.600	0.02940	0.08830
282.500	0.02550	0.07660
246.200	0.02220	0.06650
864.700	0.50060	0.49510
1046.300	0.49290	0.48740
1273.900	0.46920	0.46410
1420.400	0.43040	0.42570
1477.400	0.40160	0.39710
1497.300	0.36990	0.36570
1479.700	0.32950	0.32590
1405.400	0.28790	0.28470
1311.600	0.25370	0.25090
1203.400	0.21920	0.21690
1093.200	0.18980	0.18780
1004.700	0.16940	0.16740
897.000	0.14690	0.14530
804.500	0.12910	0.12770
738.500	0.11700	0.11560
663.400	0.10370	0.10260
569.200	0.08790	0.08700
485.000	0.07390	0.07310
419.600	0.06350	0.06280
357.400	0.05370	0.05320
312.400	0.04680	0.04630
809.200	0.74370	0.24260
1022.700	0.72620	0.23690
1199.100	0.69920	0.22810
1361.600	0.65790	0.21460
1461.300	0.61380	0.20030
1521.000	0.56570	0.18460
1536.900	0.52030	0.16980
1523.600	0.47750	0.15580
1483.300	0.43500	0.14190
1410.000	0.38780	0.12650
1335.400	0.35170	0.11470
1272.800	0.32560	0.10630
1230.600	0.31010	0.10120
1153.500	0.28270	0.09220
1046.600	0.24900	0.08120
950.200	0.22110	0.07220
866.500	0.19840	0.06470
759.400	0.17080	0.05570
750.300	0.16810	0.05480
648.300	0.14320	0.04670
564.000	0.12350	0.04030
497.300	0.10820	0.03530
431.100	0.09320	0.03040
382.600	0.08250	0.02690
Source
Nagata I.; Fujiwara K.; Ogasawara Y.: Excess Enthalpies of 2-Propanol + Cyclohexane and 2-Propanol + Benzene + Cyclohexane at 298.15 K. J.Chem.Thermodyn. 10 (1978) 1201-1203
Source
Nagata I.; Fujiwara K.; Ogasawara Y.: Excess Enthalpies of 2-Propanol + Cyclohexane and 2-Propanol + Benzene + Cyclohexane at 298.15 K. J.Chem.Thermodyn. 10 (1978) 1201-1203
