$$$Enthalpy of Mixing Data Set 4220	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	C2H4O2	60.053	64-19-7	Acetic acid	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	
-121.600	0.04110	
-382.900	0.11890	
-492.700	0.16080	
-659.600	0.23130	
-789.300	0.30780	
-872.600	0.38590	
-915.000	0.46920	
-892.900	0.56070	
-794.800	0.65970	
-618.700	0.76120	
-324.000	0.87810	
-201.200	0.92660	
Source	
Wilhelm E.; Inglese A.; Grolier J.-P.E.; Kehiaian H.V.: 4. Excess Enthalpies of Oxolane + and Oxane + Alkanoic Acid (HCO2H to C7H15CO2H). J.Chem.Thermodyn. 14 (1982) 33-36	
Source	
Wilhelm E.; Inglese A.; Grolier J.-P.E.; Kehiaian H.V.: 4. Excess Enthalpies of Oxolane + and Oxane + Alkanoic Acid (HCO2H to C7H15CO2H). J.Chem.Thermodyn. 14 (1982) 33-36	
