$$$Enthalpy of Mixing Data Set 9724	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	C6H14	86.177	110-54-3	Hexane	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
1226.500	0.05260	0.15760	
1317.900	0.05990	0.17960	
1424.000	0.06960	0.20870	
1517.100	0.07960	0.23890	
1591.700	0.08920	0.26750	
1637.200	0.09560	0.28880	
1672.700	0.10190	0.30770	
1716.400	0.11190	0.33810	
1748.400	0.12270	0.37070	
1185.800	0.12480	0.12460	
1765.400	0.13410	0.40560	
1273.700	0.14390	0.14370	
1761.400	0.14710	0.44430	
1741.000	0.15700	0.47070	
1344.300	0.16180	0.16150	
1712.100	0.16560	0.49660	
891.400	0.17720	0.05910	
1643.500	0.17880	0.53620	
1412.800	0.18200	0.18160	
915.500	0.18720	0.06240	
1544.000	0.19200	0.57590	
1459.200	0.19790	0.19760	
1411.500	0.20480	0.61410	
1504.100	0.21650	0.21610	
1246.500	0.21690	0.65060	
985.500	0.21870	0.07290	
1050.800	0.22860	0.68560	
825.500	0.23960	0.71860	
1552.200	0.23980	0.23930	
1050.200	0.25330	0.08450	
1578.100	0.26070	0.26020	
1594.200	0.28310	0.28260	
1106.200	0.28930	0.09650	
1594.800	0.30930	0.30870	
1149.600	0.32310	0.10780	
1582.600	0.32970	0.32910	
1170.100	0.34260	0.11430	
1547.000	0.35420	0.35350	
1193.600	0.36940	0.12320	
1485.200	0.37930	0.37860	
1212.800	0.40010	0.13350	
1392.600	0.40490	0.40410	
1263.700	0.43030	0.42940	
1225.600	0.43520	0.14520	
1087.500	0.45590	0.45500	
1227.000	0.47730	0.15920	
878.000	0.47920	0.47830	
1206.400	0.52620	0.17550	
1166.800	0.56640	0.18890	
1098.400	0.60730	0.20230	
991.900	0.64850	0.21630	
840.300	0.68830	0.22960	
660.500	0.72240	0.24100	
Source	
Nagata I.: (Liquid + Liquid) Equilibria and Excess Enthalpies for (Methanol + Benzene or Propanone + Hexane) at the Temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 545-551	
Source	
Nagata I.: (Liquid + Liquid) Equilibria and Excess Enthalpies for (Methanol + Benzene or Propanone + Hexane) at the Temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 545-551	
