$$$Enthalpy of Mixing Data Set 10576	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C16H34	226.446	544-76-3	Hexadecane	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	
364.000	0.12520	
659.900	0.23980	
881.500	0.33940	
1021.800	0.41890	
1115.200	0.48900	
1153.700	0.54810	
1173.900	0.59860	
1168.800	0.64160	
1147.200	0.67880	
1112.200	0.71010	
1051.400	0.74030	
974.500	0.77660	
896.500	0.80760	
805.400	0.83900	
696.200	0.86980	
585.200	0.89800	
455.500	0.92710	
311.400	0.95330	
156.000	0.97900	
Source	
Ortega J.; Placido J.: Measurement and Comparison with the Disquac Model. Eldata Int.Electron.J.Phys.-Chem.Data 1 (1995) 59-68	
Source	
Ortega J.; Placido J.: Measurement and Comparison with the Disquac Model. Eldata Int.Electron.J.Phys.-Chem.Data 1 (1995) 59-68	
