$$$Enthalpy of Mixing Data Set 17664
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	C6H6	78.114	71-43-2	Acetic acid butyl ester
Temperature	308.150	K
hE [J/mol]	x1 [mol/mol]
-20.400	0.12860
-24.500	0.22860
-26.000	0.27210
-27.400	0.34010
-26.400	0.43810
-24.500	0.50420
-22.700	0.54250
-20.900	0.59710
-14.000	0.74770
-7.500	0.87310
Source
Maken S.; Deshwal B.R.; Chadha R.; Anu; Singh K.C.; Kim H.; Park J.-W.: Molar Excess Volumes and Molar Excess Enthalpies. Fluid Phase Equilib. 235 (2005) 42-49
Source
Maken S.; Deshwal B.R.; Chadha R.; Anu; Singh K.C.; Kim H.; Park J.-W.: Molar Excess Volumes and Molar Excess Enthalpies. Fluid Phase Equilib. 235 (2005) 42-49
