$$$Enthalpy of Mixing Data Set 5042	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C2H3N	41.053	75-05-8	Acetonitrile	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
413.700	0.01330	0.24710	
684.300	0.05060	0.23780	
962.900	0.11770	0.22100	
1156.100	0.22720	0.19350	
1194.500	0.31650	0.17120	
1177.800	0.38520	0.15400	
1132.900	0.44970	0.13780	
1054.600	0.52080	0.12000	
985.500	0.57030	0.10760	
947.800	0.59430	0.10160	
783.800	0.68390	0.07920	
685.800	0.73050	0.06750	
609.900	0.76440	0.05900	
541.400	0.79360	0.05170	
488.100	0.81560	0.04620	
556.100	0.01430	0.49270	
789.400	0.04970	0.47500	
1039.500	0.10270	0.44850	
1246.100	0.17460	0.41260	
1370.900	0.26290	0.36840	
1402.600	0.33940	0.33020	
1382.900	0.41330	0.29330	
1337.800	0.47160	0.26410	
1273.500	0.52700	0.23640	
1236.600	0.55290	0.22350	
1171.400	0.59290	0.20350	
1083.800	0.63950	0.18020	
1002.700	0.67750	0.16120	
925.300	0.71070	0.14460	
833.200	0.74720	0.12630	
761.500	0.77390	0.11300	
715.500	0.79030	0.10480	
489.600	0.01240	0.74070	
640.700	0.03250	0.72570	
819.300	0.06540	0.70090	
996.500	0.10260	0.67300	
1162.900	0.14700	0.63980	
1298.800	0.19630	0.60280	
1380.200	0.23680	0.57240	
1426.600	0.26780	0.54920	
1461.800	0.29990	0.52510	
1486.000	0.33300	0.50020	
1500.300	0.37950	0.46540	
1498.900	0.41100	0.44170	
1474.800	0.46130	0.40400	
1436.400	0.50940	0.36800	
1422.500	0.52160	0.35880	
1370.200	0.56340	0.32750	
1323.900	0.59370	0.30470	
1272.000	0.62330	0.28250	
1213.800	0.65280	0.26040	
1150.300	0.68170	0.23880	
1073.400	0.71350	0.21490	
1057.400	0.71970	0.21020	
983.800	0.74720	0.18960	
952.400	0.75820	0.18140	
Source	
Nagata I.; Tamura K.: Excess Enthalpies of Binary and Ternary Mixtures of Acetonitrile with Methanol, Ethanol and Benzene. Fluid Phase Equilib. 24 (1985) 289-306	
Source	
Nagata I.; Tamura K.: Excess Enthalpies of Binary and Ternary Mixtures of Acetonitrile with Methanol, Ethanol and Benzene. Fluid Phase Equilib. 24 (1985) 289-306	
