$$$Enthalpy of Mixing Data Set 5249
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H8O	60.096	67-63-0	2-Propanol
2	C6H12	84.161	110-82-7	Cyclohexane
3	C8H10	106.167	106-42-3	p-Xylene
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
825.200	0.04040	0.72190
986.500	0.10000	0.67710
1080.000	0.16270	0.62990
1144.100	0.23860	0.57280
1164.700	0.31080	0.51850
1149.700	0.38160	0.46520
1093.700	0.46310	0.40390
1025.400	0.52570	0.35680
962.000	0.57170	0.32220
899.500	0.61200	0.29190
825.600	0.65470	0.25980
739.300	0.70020	0.22550
678.500	0.73000	0.20310
607.100	0.76330	0.17810
534.700	0.79560	0.15380
482.400	0.81850	0.13650
390.800	0.85570	0.10860
317.300	0.88460	0.08680
300.900	0.89100	0.08200
697.700	0.01020	0.49470
936.200	0.03880	0.48040
1168.100	0.11910	0.44030
1270.000	0.20070	0.39940
1309.800	0.27970	0.36000
1305.000	0.34740	0.32610
1244.500	0.44170	0.27900
1156.600	0.51760	0.24110
1055.500	0.58310	0.20840
931.200	0.64990	0.17500
849.200	0.68870	0.15560
789.900	0.71560	0.14210
714.800	0.74780	0.12610
610.500	0.78990	0.10500
533.200	0.81950	0.09020
662.600	0.02290	0.24480
1075.100	0.11930	0.22060
1195.500	0.18560	0.20400
1251.000	0.23680	0.19120
1287.200	0.30620	0.17380
1284.700	0.38390	0.15440
1232.500	0.46890	0.13310
1142.800	0.54790	0.11330
1058.600	0.60290	0.09950
964.200	0.65370	0.08680
857.500	0.70480	0.07400
771.100	0.74230	0.06460
685.300	0.77680	0.05590
617.500	0.80270	0.04940
544.200	0.82940	0.04270
495.700	0.84680	0.03840
467.300	0.85620	0.03590
382.000	0.88450	0.02890
318.300	0.90510	0.02370
272.700	0.91940	0.02020
237.800	0.93020	0.01750
Source
Nagata I.; Ogasawara Y.: Prediction of Ternary Excess Enthalpies from Binary Data.. Thermochim.Acta 52 (1982) 155-168
Source
Nagata I.; Ogasawara Y.: Prediction of Ternary Excess Enthalpies from Binary Data.. Thermochim.Acta 52 (1982) 155-168
