$$$Enthalpy of Mixing Data Set 3925
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C6H6	78.114	71-43-2	Benzene
3	C2H3N	41.053	75-05-8	Acetonitrile
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
221.500	0.03100	0.72620
127.000	0.07480	0.69340
42.100	0.11440	0.66370
-46.200	0.15840	0.63070
-106.900	0.18970	0.60730
-178.200	0.23250	0.57520
-234.200	0.26580	0.55020
-289.300	0.30150	0.52350
-340.300	0.33810	0.49610
-382.800	0.37280	0.47010
-435.700	0.42520	0.43080
-474.100	0.47640	0.39240
-496.400	0.52040	0.35940
-509.500	0.56650	0.32490
-510.500	0.61200	0.29080
-500.900	0.65270	0.26030
-473.000	0.70490	0.22120
-438.800	0.74660	0.18990
-406.400	0.77780	0.16650
-375.500	0.80290	0.14770
353.100	0.03240	0.48350
268.800	0.06270	0.46840
188.500	0.09220	0.45370
94.400	0.12760	0.43590
-6.400	0.16630	0.41660
-99.400	0.20480	0.39740
-202.900	0.25090	0.37430
-289.100	0.29260	0.35350
-365.700	0.33330	0.33320
-434.200	0.37390	0.31290
-493.700	0.41530	0.29220
-542.800	0.45700	0.27130
-580.400	0.49930	0.25020
-592.600	0.51760	0.24110
-602.400	0.53460	0.23260
-609.000	0.54790	0.22590
-619.000	0.57840	0.21070
-621.000	0.61990	0.18990
-608.300	0.66210	0.16890
-571.900	0.71600	0.14190
-530.000	0.75540	0.12220
-494.800	0.78200	0.10890
333.200	0.02470	0.24490
261.400	0.05040	0.23850
174.300	0.08230	0.23040
105.300	0.10770	0.22400
5.300	0.14470	0.21470
-88.600	0.18080	0.20570
-180.800	0.21770	0.19640
-270.300	0.25550	0.18690
-350.500	0.29120	0.17800
-423.400	0.32590	0.16930
-486.900	0.35850	0.16110
-564.700	0.40380	0.14970
-624.900	0.44590	0.13910
-661.700	0.47880	0.13080
-670.300	0.48470	0.12940
-691.900	0.51000	0.12300
-715.900	0.54410	0.11450
-734.500	0.59480	0.10180
-730.500	0.64360	0.08950
-704.300	0.69100	0.07760
-665.300	0.73060	0.06760
-627.400	0.75980	0.06030
Source
Nagata I.; Tamura K.; Tokuriki S.: Excess Enthalpies and Complex Formation of Acetonitrile with Acetone, Chloroform, and Benzene. Thermochim.Acta 47 (1981) 315-331
Source
Nagata I.; Tamura K.; Tokuriki S.: Excess Enthalpies and Complex Formation of Acetonitrile with Acetone, Chloroform, and Benzene. Thermochim.Acta 47 (1981) 315-331
