$$$Enthalpy of Mixing Data Set 10024	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	
2.000	0.00430	
5.200	0.01640	
13.000	0.03730	
16.000	0.04370	
20.300	0.05380	
25.200	0.07010	
26.300	0.07160	
Source	
Sitnyakovskii I.B.; Semenov L.V.; Gaile A.A.; Koldobovskaya L.L.: Intermolecular interactions of N-methylpyrrolidone with oxygen-containing organic substances. Zh.Prikl.Khim. 63 (1990) 898-902	
Source	
Sitnyakovskii I.B.; Semenov L.V.; Gaile A.A.; Koldobovskaya L.L.: Intermolecular interactions of N-methylpyrrolidone with oxygen-containing organic substances. Zh.Prikl.Khim. 63 (1990) 898-902	
