$$$Enthalpy of Mixing Data Set 18500
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	592-41-6	1-Hexene
2	C4H8O	72.107	109-99-9	Tetrahydrofuran
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
67.500	0.05010
127.100	0.09700
186.500	0.15070
230.000	0.19940
271.600	0.25010
304.900	0.30030
329.800	0.34990
349.000	0.39990
359.300	0.45000
366.500	0.49770
363.600	0.54940
353.300	0.60060
337.800	0.64900
318.200	0.69050
282.300	0.74990
245.400	0.79990
197.200	0.85010
140.100	0.89950
75.500	0.95000
Source
Lan C.Q.; Kodama D.; Wang Z.; Lu B.C.-Y.: Excess molar enthalpies of the ternary mixtures (1-hexene + tetrahydrofuran or 2-methyltetrahydrofuran + methyl tert-butyl ether) at the temperature 298.15 K. J.Chem.Thermodyn. 38 (2006) 1606-1611
Source
Lan C.Q.; Kodama D.; Wang Z.; Lu B.C.-Y.: Excess molar enthalpies of the ternary mixtures (1-hexene + tetrahydrofuran or 2-methyltetrahydrofuran + methyl tert-butyl ether) at the temperature 298.15 K. J.Chem.Thermodyn. 38 (2006) 1606-1611
