$$$Enthalpy of Mixing Data Set 1715
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	C4H8O	72.107	109-99-9	Tetrahydrofuran
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
46.055	0.07900
92.110	0.22500
92.110	0.23520
108.857	0.29520
104.670	0.29800
125.604	0.45560
125.604	0.48320
125.604	0.60740
96.296	0.71960
71.176	0.80400
79.549	0.81180
66.989	0.84800
50.242	0.88550
Source
Arm H.; Bankay D.; Schaller R.; Waelti M.: Systeme Tetrahydrofuran-Diäthyläther und Methanol-Tetrahydrofuran bei 25°. Helv.Chim.Acta 49 (1966) 2598-2605
Source
Arm H.; Bankay D.; Schaller R.; Waelti M.: Systeme Tetrahydrofuran-Diäthyläther und Methanol-Tetrahydrofuran bei 25°. Helv.Chim.Acta 49 (1966) 2598-2605
