$$$Enthalpy of Mixing Data Set 4464	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H3N	41.053	75-05-8	Acetonitrile	
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Temperature	323.150	K	
hE [J/mol]	x1 [mol/mol]	
79.300	0.01640	
212.600	0.04440	
416.300	0.09030	
592.000	0.13270	
757.400	0.17610	
916.500	0.22180	
1096.100	0.28190	
1265.300	0.35250	
1398.800	0.42850	
1480.000	0.50380	
1520.700	0.52980	
1531.200	0.55720	
1529.100	0.61800	
1483.300	0.68210	
1391.700	0.74490	
1274.000	0.79600	
1148.800	0.83530	
991.000	0.87260	
830.700	0.90330	
657.800	0.93030	
479.200	0.95290	
308.600	0.97170	
185.000	0.98370	
81.600	0.99300	
Source	
Villamanan M.A.; Van Ness H.C.: Excess Enthalpies of 1,2-Ethanediol + 2-Propanone or + Ethanenitrile. Int.Data Series Sel.Data Mixtures Ser. A 1984 (1984) 86-87	
Source	
Villamanan M.A.; Van Ness H.C.: Excess Enthalpies of 1,2-Ethanediol + 2-Propanone or + Ethanenitrile. Int.Data Series Sel.Data Mixtures Ser. A 1984 (1984) 86-87	
