$$$Enthalpy of Mixing Data Set 3929	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
816.400	0.01570	0.70950	
832.300	0.01900	0.68160	
842.600	0.02290	0.65220	
847.200	0.02810	0.61550	
840.700	0.03490	0.57280	
819.500	0.04340	0.52410	
771.700	0.05590	0.45940	
751.400	0.06440	0.44470	
685.600	0.07140	0.38400	
591.000	0.07910	0.31730	
459.900	0.08760	0.24420	
304.000	0.09600	0.17180	
162.900	0.10260	0.11500	
27.600	0.10820	0.06670	
-104.400	0.11320	0.02370	
681.700	0.80880	0.14350	
780.100	0.77020	0.17240	
903.400	0.71170	0.21640	
990.600	0.66210	0.25360	
1036.700	0.62630	0.28040	
1091.800	0.56670	0.32520	
1118.800	0.51230	0.36600	
1126.900	0.45230	0.41100	
1109.200	0.38390	0.46240	
1073.800	0.32370	0.50750	
1025.000	0.26630	0.55060	
941.400	0.18890	0.60870	
882.100	0.13980	0.64550	
812.700	0.08090	0.68970	
760.600	0.02360	0.73270	
563.300	0.88600	0.05680	
616.200	0.87120	0.06420	
670.600	0.85400	0.07280	
741.900	0.82870	0.08540	
813.600	0.79840	0.10050	
854.300	0.77770	0.11080	
916.500	0.74380	0.12770	
966.800	0.70740	0.14580	
1017.700	0.65670	0.17110	
1036.200	0.62900	0.18490	
1054.300	0.57530	0.21170	
1056.200	0.56980	0.21440	
1057.600	0.55110	0.22370	
1055.800	0.50380	0.24740	
1039.600	0.45180	0.27330	
1016.600	0.40580	0.29620	
982.800	0.35760	0.32020	
947.200	0.31550	0.34120	
905.200	0.26760	0.36510	
856.300	0.21440	0.39160	
808.700	0.16220	0.41760	
767.400	0.10370	0.44680	
760.900	0.03770	0.47970	
Source	
Nagata I.; Kawamura Y.; Ogasawara Y.; Tokuriki S.: Excess Enthalpies of (Chloroform + Cyclohexane), (Propan-2-ol + Toluene + Cyclohexane), and (Propan-2-ol + Chloroform + Cyclohexane) at 298.15 K. J.Chem.Thermodyn. 12 (1980) 223-228	
Source	
Nagata I.; Kawamura Y.; Ogasawara Y.; Tokuriki S.: Excess Enthalpies of (Chloroform + Cyclohexane), (Propan-2-ol + Toluene + Cyclohexane), and (Propan-2-ol + Chloroform + Cyclohexane) at 298.15 K. J.Chem.Thermodyn. 12 (1980) 223-228	
