$$$Enthalpy of Mixing Data Set 9464
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	592-41-6	1-Hexene
2	C3H8O	60.096	67-63-0	2-Propanol
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
151.400	0.07360
308.500	0.14460
412.800	0.19750
521.500	0.25560
560.400	0.28120
636.500	0.32940
660.900	0.34890
763.500	0.43570
838.200	0.52650
862.200	0.57340
863.500	0.67560
859.700	0.70440
811.700	0.76470
704.600	0.83350
502.200	0.90660
Source
Letcher T.M.; Mercer-Chalmers J.; Govender U.P.; Radloff S.: Excess molar enthalpies and excess molar volumes of binary mixtures of 1-alkenes with 1-propanol and 2-propanol. Thermochim.Acta 224 (1993) 33-38
Source
Letcher T.M.; Mercer-Chalmers J.; Govender U.P.; Radloff S.: Excess molar enthalpies and excess molar volumes of binary mixtures of 1-alkenes with 1-propanol and 2-propanol. Thermochim.Acta 224 (1993) 33-38
