$$$Enthalpy of Mixing Data Set 4307	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H3N	41.053	75-05-8	Acetonitrile	
2	C4H8O2S	120.172	126-33-0	Sulfolane	
Temperature	303.160	K	
hE [J/mol]	x1 [mol/mol]	
-11.600	0.13000	
-12.600	0.15670	
-18.400	0.29440	
-17.200	0.38720	
-16.500	0.41430	
-15.400	0.47210	
-9.900	0.60130	
-2.700	0.69910	
2.000	0.78650	
2.200	0.81360	
4.000	0.83880	
4.200	0.89140	
2.800	0.91840	
1.700	0.94670	
Source	
Lopez A.; Pansini M.; Jannelli L.: Excess Enthalpies of Mixing Sulfolane + Acetonitrile, + Propionitrile, + Butyronitrile, + Valeronitrile at 303.16 K.. J.Chem.Eng.Data 28 (1983) 173-175	
Source	
Lopez A.; Pansini M.; Jannelli L.: Excess Enthalpies of Mixing Sulfolane + Acetonitrile, + Propionitrile, + Butyronitrile, + Valeronitrile at 303.16 K.. J.Chem.Eng.Data 28 (1983) 173-175	
