$$$Enthalpy of Mixing Data Set 13811	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H8O	60.096	67-63-0	2-Propanol	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
455.900	0.00000	0.17850	
902.810	0.11930	0.15720	
980.300	0.16890	0.14835	
1092.940	0.28900	0.12691	
1115.360	0.33700	0.11835	
1093.060	0.40390	0.10640	
1045.530	0.47460	0.09378	
909.780	0.57540	0.07579	
824.340	0.64370	0.06360	
668.370	0.73050	0.04811	
551.940	0.78320	0.03870	
512.700	0.80260	0.03524	
421.280	0.84430	0.02779	
299.920	0.89050	0.01955	
194.820	0.93130	0.01226	
658.500	0.00000	0.33030	
863.180	0.11530	0.29222	
1063.760	0.17850	0.27134	
1130.640	0.24580	0.24911	
1144.840	0.30290	0.23025	
1183.460	0.39460	0.19996	
1118.340	0.49440	0.16700	
1060.450	0.56590	0.14338	
1063.650	0.56590	0.14338	
919.380	0.63480	0.12063	
858.470	0.66170	0.11174	
882.370	0.66170	0.11174	
731.640	0.72280	0.09156	
650.520	0.76520	0.07755	
482.810	0.83020	0.05608	
384.480	0.86700	0.04393	
276.010	0.90720	0.03065	
146.900	0.95140	0.01605	
608.900	0.00000	0.70150	
1026.770	0.10500	0.62784	
1130.440	0.16350	0.58680	
1210.710	0.19000	0.56822	
1301.860	0.26020	0.51897	
1302.440	0.30540	0.48726	
1316.450	0.36960	0.44223	
1259.510	0.43880	0.39368	
1255.200	0.46790	0.37327	
1155.080	0.53970	0.32290	
1054.730	0.60990	0.27366	
875.600	0.70110	0.20968	
704.440	0.75770	0.16997	
526.380	0.82430	0.12325	
390.430	0.00000	0.84480	
810.180	0.10080	0.75964	
872.690	0.12280	0.74106	
866.590	0.12280	0.74106	
992.050	0.17360	0.69814	
1091.900	0.21880	0.65996	
1178.840	0.29580	0.59491	
1220.870	0.35900	0.54152	
1221.620	0.42750	0.48365	
1221.260	0.45660	0.45906	
1159.970	0.52830	0.39849	
1043.070	0.62690	0.31519	
924.390	0.69140	0.26071	
741.130	0.77070	0.19371	
610.050	0.81750	0.15418	
468.660	0.87050	0.10940	
367.000	0.89960	0.08482	
301.620	0.91800	0.06927	
Source	
Fanni A.M.; Marongiu B.; Porcedda S.: Excess enthalpies for binary and ternary mixtures containing propan-2-ol, oxolane, and cyclohexane at 298.15 K. Eldata Int.Electron.J.Phys.-Chem.Data 4 (1998) 21-28	
Source	
Fanni A.M.; Marongiu B.; Porcedda S.: Excess enthalpies for binary and ternary mixtures containing propan-2-ol, oxolane, and cyclohexane at 298.15 K. Eldata Int.Electron.J.Phys.-Chem.Data 4 (1998) 21-28	
