$$$Enthalpy of Mixing Data Set 3922
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CHCl3	119.377	67-66-3	Chloroform
3	CH4O	32.042	67-56-1	Methanol
Temperature	323.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
-160.400	0.04890	0.00520
-53.300	0.04690	0.04420
59.000	0.04480	0.08810
144.300	0.04310	0.12400
229.100	0.04110	0.16300
299.600	0.03930	0.20000
372.800	0.03710	0.24500
433.800	0.03480	0.29140
-348.500	0.22840	0.07120
-270.400	0.21190	0.13850
-131.900	0.18690	0.24000
-30.100	0.16870	0.31400
53.600	0.15290	0.37820
84.400	0.14640	0.40450
-14.400	0.49220	0.01140
-244.400	0.46080	0.07460
-430.700	0.41810	0.16020
-519.400	0.36580	0.26540
-513.600	0.32150	0.35430
-472.900	0.28420	0.42930
-451.200	0.26960	0.45840
471.400	0.74500	0.00870
123.900	0.70980	0.05550
-224.200	0.66810	0.11100
-516.300	0.62450	0.16900
-751.000	0.57840	0.23040
-936.700	0.52370	0.30320
-1023.500	0.47840	0.36340
-1058.800	0.42320	0.43690
-1049.700	0.39280	0.47740
307.400	0.95300	0.00350
-106.200	0.90770	0.05090
-437.400	0.86490	0.09560
-771.600	0.81650	0.14630
-1020.800	0.77360	0.19110
-1262.500	0.72280	0.24420
-1458.400	0.66800	0.30150
-1589.800	0.60690	0.36540
-1657.600	0.52930	0.44660
-1645.100	0.49010	0.48750
-1608.400	0.45260	0.52680
107.800	0.00610	0.04980
-93.400	0.06050	0.04700
-245.000	0.11640	0.04420
-361.200	0.19170	0.04050
-383.100	0.26800	0.03660
-371.000	0.29510	0.03530
506.500	0.00650	0.24490
224.800	0.06860	0.22960
14.200	0.12320	0.21620
-182.200	0.18680	0.20050
-334.300	0.25810	0.18290
-423.000	0.34190	0.16220
-429.700	0.35940	0.15790
738.400	0.00480	0.48710
445.500	0.06200	0.45910
169.600	0.12040	0.43050
-76.500	0.17870	0.40200
-306.900	0.24300	0.37050
-483.200	0.30490	0.34020
570.600	0.00760	0.75280
256.900	0.06780	0.70720
-108.100	0.14240	0.65060
-391.700	0.20620	0.60220
-616.800	0.26370	0.55860
-830.900	0.32730	0.51030
-1009.100	0.39490	0.45900
-1114.900	0.45220	0.41560
-1145.300	0.47600	0.39750
155.100	0.00680	0.93710
-154.600	0.06930	0.87810
-468.300	0.13510	0.81610
-763.500	0.20140	0.75350
-1055.600	0.27410	0.68490
-1256.100	0.33530	0.62720
-1427.100	0.39190	0.57380
-1552.200	0.45100	0.51800
-1621.200	0.50410	0.46790
-1632.400	0.51680	0.45590
-269.000	0.95670	0.04030
-73.100	0.93230	0.03930
164.400	0.88710	0.03730
311.600	0.75010	0.03160
92.000	0.57340	0.02410
-96.900	0.46920	0.01980
-239.500	0.38580	0.01620
-280.800	0.35800	0.01510
-1393.400	0.74790	0.24770
-1083.900	0.70920	0.23490
-808.900	0.65830	0.21800
-518.900	0.55490	0.18370
-426.700	0.48050	0.15920
-381.700	0.40070	0.13270
-365.500	0.33680	0.11160
-355.200	0.28450	0.09420
-349.000	0.25890	0.08570
-1586.500	0.42070	0.57070
-1348.300	0.40260	0.54620
-1018.100	0.37210	0.50490
-733.700	0.33820	0.45900
-444.200	0.28960	0.39280
-258.900	0.24390	0.33100
-128.600	0.19480	0.26430
-69.900	0.16030	0.21740
-57.400	0.15110	0.20510
-1144.400	0.26630	0.72560
-851.300	0.24990	0.68090
-567.800	0.23030	0.62750
-332.800	0.20960	0.57100
-115.900	0.18380	0.50060
62.700	0.15070	0.41080
149.900	0.12100	0.32990
176.700	0.09990	0.27230
180.300	0.08810	0.24000
-126.800	0.04500	0.92920
98.000	0.04200	0.86770
286.300	0.03880	0.80310
456.200	0.03520	0.72700
573.100	0.03150	0.65080
647.800	0.02720	0.56180
667.100	0.02230	0.46080
641.900	0.01890	0.39050
610.900	0.01680	0.34630
Source
Morris J.W.; Mulvey P.J.; Abbott M.M.; van Ness H.C.: I. Acetone-Chloroform-Methanol at 50 °C. J.Chem.Eng.Data 20 (1975) 403-405
$$$Enthalpy of Mixing Data Set 4234
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	CHCl3	119.377	67-66-3	Chloroform
3	C3H6O	58.080	67-64-1	Acetone
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
-947.200	0.05130	0.23610
-821.400	0.08320	0.22820
-649.300	0.13150	0.21620
-470.900	0.19060	0.20150
-306.800	0.25790	0.18470
-218.500	0.30050	0.17410
-100.300	0.36990	0.15680
-18.100	0.43060	0.14170
57.100	0.50640	0.12280
102.800	0.57380	0.10610
119.300	0.61350	0.09620
132.700	0.66980	0.08220
134.000	0.72720	0.06790
131.300	0.75660	0.06060
124.400	0.78790	0.05280
118.900	0.80680	0.04810
115.800	0.81590	0.04580
-1682.300	0.03840	0.48060
-1407.800	0.10090	0.44950
-1160.100	0.17420	0.41280
-988.400	0.23800	0.38100
-816.500	0.31650	0.34170
-669.200	0.40020	0.29990
-552.600	0.48050	0.25970
-457.200	0.55710	0.22140
-405.300	0.60170	0.19910
-379.600	0.62830	0.18580
-329.600	0.67830	0.16080
-294.100	0.71430	0.14280
-269.000	0.74010	0.13000
-245.000	0.76490	0.11750
