$$$Enthalpy of Mixing Data Set 10371	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
256.700	0.01780	0.91560	
286.500	0.03180	0.90970	
478.700	0.03620	0.82820	
862.600	0.03790	0.56140	
938.100	0.04660	0.46080	
327.800	0.04860	0.90270	
696.900	0.05530	0.73780	
955.200	0.05580	0.35420	
512.400	0.06430	0.81750	
905.000	0.06550	0.24240	
361.500	0.06890	0.89400	
869.600	0.07510	0.64400	
749.800	0.07570	0.12450	
398.900	0.09370	0.88340	
1014.200	0.09570	0.54660	
587.800	0.09750	0.80480	
779.900	0.09760	0.72330	
1103.700	0.11700	0.44560	
966.600	0.13160	0.62690	
612.700	0.13700	0.78950	
1132.600	0.13920	0.34070	
820.400	0.14670	0.70630	
541.500	0.14840	0.01680	
1076.800	0.16220	0.23160	
1106.300	0.16640	0.52830	
897.500	0.18620	0.11810	
1018.000	0.19620	0.60730	
1183.400	0.20200	0.42750	
872.000	0.20420	0.68630	
1194.800	0.23840	0.32440	
1135.000	0.24630	0.50740	
1034.900	0.27050	0.58450	
861.400	0.27130	0.66270	
1123.900	0.27560	0.21880	
1192.200	0.29620	0.40730	
946.900	0.31380	0.11070	
831.100	0.31810	0.64610	
1119.000	0.33600	0.48390	
1186.300	0.34660	0.30640	
967.000	0.35550	0.55820	
763.500	0.38890	0.04410	
1089.100	0.39730	0.20490	
1138.500	0.40060	0.38470	
900.900	0.41360	0.53990	
1003.000	0.43670	0.45720	
807.200	0.43680	0.05640	
913.300	0.44840	0.10240	
1098.200	0.46440	0.28670	
782.000	0.48770	0.05530	
902.100	0.50440	0.43900	
980.800	0.51530	0.35960	
1000.300	0.52750	0.18990	
731.400	0.54670	0.04540	
756.000	0.57530	0.06530	
823.200	0.58970	0.09430	
837.700	0.59090	0.34280	
907.700	0.59120	0.26520	
645.800	0.64400	0.03560	
688.200	0.65360	0.07420	
786.800	0.66470	0.17390	
735.000	0.67330	0.25110	
540.300	0.73070	0.02690	
619.200	0.73580	0.08550	
599.600	0.75200	0.16360	
421.600	0.80850	0.01910	
426.900	0.82720	0.07990	
290.700	0.87860	0.01210	
151.900	0.94210	0.00570	
Source	
Conti G.; Gianni P.; Matteoli E.: Excess enthalpies and excess heat capacities of the ternary system ethanol + tetrahydrofuran + cyclohexane at 298.15 K. Thermochim.Acta 247 (1994) 293-313	
Source	
Conti G.; Gianni P.; Matteoli E.: Excess enthalpies and excess heat capacities of the ternary system ethanol + tetrahydrofuran + cyclohexane at 298.15 K. Thermochim.Acta 247 (1994) 293-313	
