$$$Enthalpy of Mixing Data Set 3759
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C8H10	106.167	106-42-3	p-Xylene
2	C16H34	226.446	544-76-3	Hexadecane
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
228.000	0.20100
293.200	0.28900
377.100	0.44100
404.700	0.58700
409.600	0.65400
409.700	0.65400
412.700	0.66300
408.400	0.68100
223.700	0.89500
180.600	0.91800
Source
Picquenard E.; Kehiaian H.V.; Abello L.; Pannetier G.: Etude des enthalpies de melange de systemes hydrocarbures benzeniques-alcanes normeaux. Bull.Soc.Chim.Fr.  (1972) 120-124
Source
Picquenard E.; Kehiaian H.V.; Abello L.; Pannetier G.: Etude des enthalpies de melange de systemes hydrocarbures benzeniques-alcanes normeaux. Bull.Soc.Chim.Fr.  (1972) 120-124
