$$$Enthalpy of Mixing Data Set 17667	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C8H10	106.167	108-38-3	Acetic acid butyl ester	
2	C8H10	106.167	108-38-3	m-Xylene	
Temperature	308.150	K	
hE [J/mol]	x1 [mol/mol]	
9.900	0.15680	
13.900	0.18860	
17.100	0.28790	
21.900	0.42650	
22.100	0.48180	
23.200	0.53750	
23.400	0.63650	
19.100	0.78810	
18.000	0.82860	
11.900	0.91690	
Source	
Maken S.; Deshwal B.R.; Chadha R.; Anu; Singh K.C.; Kim H.; Park J.-W.: Molar Excess Volumes and Molar Excess Enthalpies. Fluid Phase Equilib. 235 (2005) 42-49	
Source	
Maken S.; Deshwal B.R.; Chadha R.; Anu; Singh K.C.; Kim H.; Park J.-W.: Molar Excess Volumes and Molar Excess Enthalpies. Fluid Phase Equilib. 235 (2005) 42-49	
