$$$Enthalpy of Mixing Data Set 1275	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Temperature	293.150	K	
hE [J/mol]	x1 [mol/mol]	
14.235	0.00740	
557.263	0.78310	
164.541	0.96790	
56.522	0.99000	
19.259	0.99670	
6.280	0.99900	
Source	
Merkel K.: Übermolekülbildung in Flüssigkeiten. Nova Acta Leopoldina 9 (1940) 243-303	
Source	
Merkel K.: Übermolekülbildung in Flüssigkeiten. Nova Acta Leopoldina 9 (1940) 243-303	
