$$$Enthalpy of Mixing Data Set 9778	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
411.200	0.05000	0.23750	
371.100	0.05000	0.47400	
296.200	0.05000	0.71270	
549.300	0.10000	0.22500	
502.500	0.10000	0.44900	
427.500	0.10000	0.67520	
641.600	0.15000	0.21250	
600.700	0.15000	0.42410	
534.600	0.15000	0.63770	
698.300	0.20000	0.20000	
671.100	0.20000	0.39910	
616.300	0.20000	0.60020	
724.900	0.25000	0.18750	
716.000	0.25000	0.37420	
675.700	0.25000	0.56270	
739.700	0.30000	0.17500	
735.500	0.30000	0.34920	
713.700	0.30000	0.52510	
736.300	0.35000	0.16250	
744.800	0.35000	0.32430	
735.100	0.35000	0.48760	
721.800	0.40000	0.15000	
739.500	0.40000	0.29930	
738.700	0.40000	0.45010	
693.600	0.45000	0.13750	
717.700	0.45000	0.27440	
730.200	0.45000	0.41260	
657.300	0.50000	0.12500	
690.700	0.50000	0.24950	
708.200	0.50000	0.37510	
614.000	0.55000	0.11250	
652.800	0.55000	0.22450	
682.700	0.55000	0.33760	
569.200	0.60000	0.10000	
606.000	0.60000	0.19960	
641.600	0.60000	0.30010	
515.100	0.65000	0.08750	
554.500	0.65000	0.17450	
588.800	0.65000	0.26260	
456.000	0.70000	0.07500	
494.200	0.70000	0.14970	
531.000	0.70000	0.22510	
387.900	0.75000	0.06250	
426.800	0.75000	0.12470	
460.600	0.75000	0.18760	
319.900	0.80000	0.05000	
353.100	0.80000	0.09980	
384.900	0.80000	0.15000	
245.400	0.85000	0.03750	
274.000	0.85000	0.07480	
299.900	0.85000	0.11250	
168.400	0.90000	0.02500	
188.100	0.90000	0.04990	
207.100	0.90000	0.07500	
85.200	0.95000	0.01250	
97.600	0.95000	0.02500	
106.800	0.95000	0.03750	
Source	
Nagata I.: Excess molar enthalpies for methanol + acetone and methanol + acetone + benzene mixtures at 298.15 K. Thermochim.Acta 236 (1994) 23-30	
Source	
Nagata I.: Excess molar enthalpies for methanol + acetone and methanol + acetone + benzene mixtures at 298.15 K. Thermochim.Acta 236 (1994) 23-30	
