$$$Enthalpy of Mixing Data Set 5890
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Acetic acid butyl ester
2	C4H10O	74.123	71-36-3	1-Butanol
3	C2H4O2	60.053	64-19-7	Acetic acid
4	H2O	18.015	7732-18-5	Water
Temperature	298.000	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]
383.000	0.00990	0.08910	0.81090
447.000	0.01910	0.17190	0.72810
484.000	0.02940	0.26460	0.63540
498.000	0.03990	0.35910	0.54090
501.000	0.05010	0.45090	0.44910
500.000	0.05960	0.53640	0.36360
499.000	0.07000	0.63000	0.27000
499.000	0.07980	0.71820	0.18180
499.000	0.08990	0.80910	0.09090
451.000	0.02000	0.08000	0.72000
488.000	0.03900	0.15600	0.64400
512.000	0.05920	0.23680	0.56320
538.000	0.08020	0.32080	0.47920
569.000	0.10080	0.40320	0.39680
611.000	0.11940	0.47760	0.32240
685.000	0.14200	0.56800	0.23200
758.000	0.15980	0.63920	0.16080
860.000	0.18000	0.72000	0.08000
469.000	0.03000	0.07000	0.63000
505.000	0.05760	0.13440	0.56560
540.000	0.08970	0.20930	0.49070
584.000	0.12090	0.28210	0.41790
643.000	0.15120	0.35280	0.34720
725.000	0.18180	0.42420	0.27580
827.000	0.20940	0.48860	0.21140
959.000	0.24000	0.56000	0.14000
1115.000	0.26970	0.62930	0.07070
455.000	0.05000	0.05000	0.45000
509.000	0.09800	0.09800	0.40200
578.000	0.15100	0.15100	0.34900
662.000	0.20300	0.20300	0.29700
758.000	0.250000.250000.25000
896.000	0.30600	0.30600	0.19400
1022.000	0.34900	0.34900	0.15100
1188.000	0.40000	0.40000	0.10000
1373.000	0.45000	0.45000	0.05000
427.000	0.06000	0.04000	0.36000
500.000	0.11940	0.07960	0.32040
595.000	0.18300	0.12200	0.27800
707.000	0.24300	0.16200	0.23800
831.000	0.30000	0.200000.20000
958.000	0.35580	0.23720	0.16280
1105.000	0.41760	0.27840	0.12160
1266.000	0.48180	0.32120	0.07880
1414.000	0.54060	0.36040	0.03960
385.000	0.07000	0.03000	0.27000
491.000	0.14000	0.06000	0.24000
624.000	0.21420	0.09180	0.20820
754.000	0.28210	0.12090	0.17910
908.000	0.35280	0.15120	0.14880
1047.000	0.41580	0.17820	0.12180
1185.000	0.48860	0.20940	0.09060
1304.000	0.56280	0.24120	0.05880
1390.000	0.63070	0.27030	0.02970
148.000	0.09270	0.01030	0.08970
266.000	0.18180	0.02020	0.07980
412.000	0.27810	0.03090	0.06910
534.000	0.35820	0.03980	0.06020
668.000	0.44190	0.04910	0.05090
818.000	0.53730	0.05970	0.04030
977.000	0.63270	0.07030	0.02970
1116.000	0.71910	0.07990	0.02010
1068.000	0.81270	0.09030	0.00970
394.000	0.06818	0.03283	0.28319
496.000	0.13500	0.06500	0.25200
622.000	0.20385	0.09815	0.21987
776.000	0.27472	0.13228	0.18679
909.000	0.33817	0.16283	0.15719
1041.000	0.40365	0.19435	0.12663
1184.000	0.47317	0.22783	0.09419
1308.000	0.54338	0.26162	0.06143
1406.000	0.60885	0.29315	0.03087
408.000	0.09120	0.00980	0.44950
438.000	0.17789	0.01911	0.40150
487.000	0.27271	0.02929	0.34900
522.000	0.36842	0.03958	0.29600
617.000	0.45421	0.04879	0.24850
691.000	0.55264	0.05936	0.19400
748.000	0.63300	0.06800	0.14950
783.000	0.72330	0.07770	0.09950
790.000	0.75491	0.08109	0.08200
770.000	0.81180	0.08720	0.05050
567.000	0.04792	0.04908	0.81360
808.000	0.08102	0.08298	0.75324
918.000	0.09831	0.10069	0.72170
1138.000	0.14326	0.14674	0.63971
1295.000	0.19612	0.20088	0.54330
1365.000	0.24700	0.25300	0.45050
1346.000	0.29492	0.30268	0.36310
1264.000	0.34580	0.35420	0.27030
1109.000	0.39619	0.40581	0.17840
879.000	0.44460	0.45540	0.09010
Source
Bender M.; Heintz A.; Lichtenthaler R.N.: Excess Enthalpy of the System Butyl Acetate + Butan-1-ol + Acetic Acid + Water at 313 K and Ambient Pressure. Thermochim.Acta 187 (1991) 79-94
Source
Bender M.; Heintz A.; Lichtenthaler R.N.: Excess Enthalpy of the System Butyl Acetate + Butan-1-ol + Acetic Acid + Water at 313 K and Ambient Pressure. Thermochim.Acta 187 (1991) 79-94
