$$$Enthalpy of Mixing Data Set 6230
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	C4H10O	74.123	71-36-3	1-Butanol
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
70.100	0.98670
61.120	0.98860
50.490	0.99050
40.400	0.99240
29.570	0.99430
19.660	0.99620
Source
Trampe D.M.; Eckert C.A.: Calorimetric Measurement of Partial Molar Excess Enthalpies at Infinite Dilution. J.Chem.Eng.Data 36 (1991) 112-118
Source
Trampe D.M.; Eckert C.A.: Calorimetric Measurement of Partial Molar Excess Enthalpies at Infinite Dilution. J.Chem.Eng.Data 36 (1991) 112-118
