$$$Enthalpy of Mixing Data Set 1220	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C16H34	226.446	544-76-3	Hexadecane	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	
24.607	0.00100	
50.754	0.00220	
72.749	0.00310	
95.667	0.00410	
117.616	0.00510	
138.656	0.00610	
158.442	0.00710	
176.636	0.00800	
193.985	0.00890	
207.552	0.00980	
238.224	0.01170	
285.819	0.01540	
301.786	0.01870	
356.541	0.02300	
384.424	0.02690	
437.864	0.03620	
561.077	0.06860	
638.462	0.09940	
695.727	0.12900	
698.633	0.13080	
774.741	0.18460	
820.966	0.23190	
849.380	0.27440	
862.766	0.31190	
835.781	0.34610	
806.697	0.37690	
755.421	0.43120	
712.658	0.47640	
676.430	0.51450	
283.257	0.92220	
278.204	0.92740	
273.614	0.93240	
268.778	0.93760	
263.101	0.94320	
258.076	0.94860	
255.778	0.95130	
253.035	0.95400	
248.871	0.95680	
237.822	0.95950	
225.368	0.96240	
213.510	0.96510	
200.074	0.96800	
186.441	0.97080	
172.339	0.97360	
156.894	0.97650	
140.927	0.97940	
123.985	0.98230	
105.718	0.98530	
87.765	0.98810	
66.867	0.99120	
47.050	0.99400	
22.583	0.99710	
Source	
French H.T.; Richards A.; Stokes R.H.: Thermodynamics of the Partially Miscible System Ethanol + Hexadecane. J.Chem.Thermodyn. 11 (1979) 671-686	
$$$Enthalpy of Mixing Data Set 1221	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C16H34	226.446	544-76-3	Hexadecane	
Temperature	308.150	K	
hE [J/mol]	x1 [mol/mol]	
24.196	0.00100	
48.363	0.00210	
72.207	0.00310	
95.354	0.00410	
117.794	0.00510	
168.584	0.00740	
215.471	0.00970	
256.635	0.01180	
288.782	0.01360	
317.967	0.01540	
343.917	0.01720	
362.498	0.01860	
415.067	0.02290	
453.589	0.02680	
488.475	0.03070	
515.878	0.03430	
616.348	0.05100	
695.496	0.06880	
747.815	0.08470	
831.017	0.11600	
863.172	0.12950	
893.139	0.14640	
952.005	0.18250	
1006.450	0.23040	
1037.680	0.27170	
1055.270	0.30960	
1063.350	0.34310	
1064.570	0.37380	
1049.690	0.40530	
1020.770	0.42740	
990.694	0.45050	
960.670	0.47290	
934.311	0.49290	
909.243	0.51180	
843.914	0.56120	
795.424	0.59770	
370.099	0.91680	
363.451	0.92180	
356.582	0.92710	
349.604	0.93230	
346.487	0.93490	
342.671	0.93760	
339.117	0.94030	
329.601	0.94300	
319.201	0.94570	
309.190	0.94820	
297.395	0.95100	
285.912	0.95370	
273.404	0.95650	
260.420	0.95930	
246.306	0.96220	
232.338	0.96500	
217.799	0.96780	
186.285	0.97350	
151.651	0.97930	
113.872	0.98510	
72.003	0.99100	
25.146	0.99700	
Source	
French H.T.; Richards A.; Stokes R.H.: Thermodynamics of the Partially Miscible System Ethanol + Hexadecane. J.Chem.Thermodyn. 11 (1979) 671-686	
$$$Enthalpy of Mixing Data Set 1222	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C16H34	226.446	544-76-3	Hexadecane	
Temperature	318.150	K	
hE [J/mol]	x1 [mol/mol]	
53.099	0.00230	
104.766	0.00460	
155.271	0.00680	
203.486	0.00910	
249.508	0.01120	
292.630	0.01340	
333.188	0.01550	
370.597	0.01750	
436.484	0.02150	
492.633	0.02540	
541.347	0.02930	
580.795	0.03290	
590.497	0.03390	
631.722	0.03810	
819.324	0.06610	
947.519	0.09610	
1032.870	0.12430	
1095.850	0.15070	
1142.850	0.17570	
1179.960	0.19920	
1207.710	0.22140	
1246.710	0.26230	
1282.830	0.33170	
1281.800	0.39040	
1264.640	0.43900	
1238.630	0.48060	
1223.750	0.49920	
1207.930	0.51650	
1179.990	0.53250	
1152.950	0.54760	
1102.860	0.57500	
1019.000	0.62110	
936.877	0.66620	
819.573	0.73060	
682.876	0.80540	
617.829	0.84090	
482.317	0.91420	
437.803	0.92640	
399.021	0.93600	
320.679	0.95290	
255.906	0.96490	
175.883	0.97770	
137.395	0.98320	
96.071	0.98870	
62.431	0.99290	
38.538	0.99570	
13.745	0.99850	
Source	
French H.T.; Richards A.; Stokes R.H.: Thermodynamics of the Partially Miscible System Ethanol + Hexadecane. J.Chem.Thermodyn. 11 (1979) 671-686	
Source	
French H.T.; Richards A.; Stokes R.H.: Thermodynamics of the Partially Miscible System Ethanol + Hexadecane. J.Chem.Thermodyn. 11 (1979) 671-686	
