$$$Enthalpy of Mixing Data Set 1752
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	C4H8O2	88.106	141-78-6	Ethyl acetate
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
139.002	0.15810
199.710	0.27440
250.789	0.41850
256.232	0.51970
256.232	0.54400
254.976	0.56280
200.129	0.77310
91.272	0.91250
Source
Hirobe H.: Thermochemical Studies. J.Fac.Sci.Univ.Tokyo Sec.1 1 (1926) 155-222
Source
Hirobe H.: Thermochemical Studies. J.Fac.Sci.Univ.Tokyo Sec.1 1 (1926) 155-222
