$$$Enthalpy of Mixing Data Set 5678
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C4H10O	74.123	71-36-3	1-Butanol
3	C6H6	78.114	71-43-2	Benzene
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
106.800	0.24760	0.74120
175.600	0.23800	0.71270
284.400	0.22320	0.66830
441.700	0.20230	0.60550
604.400	0.17980	0.53830
724.900	0.16180	0.48450
818.200	0.14610	0.43750
851.800	0.13980	0.41850
873.700	0.13540	0.40530
890.900	0.13160	0.39410
934.400	0.12110	0.36240
978.100	0.10690	0.31990
999.300	0.09620	0.28790
1007.800	0.08540	0.25570
1005.600	0.07740	0.23190
1003.100	0.07480	0.22380
1001.300	0.07390	0.22110
995.100	0.06980	0.20880
982.400	0.06440	0.19290
963.200	0.05830	0.17470
933.000	0.05130	0.15360
908.400	0.04670	0.13970
879.300	0.04210	0.12600
867.900	0.04040	0.12110
157.600	0.49360	0.49490
208.600	0.45740	0.47670
288.400	0.44790	0.44900
382.000	0.41640	0.41750
485.900	0.38200	0.38290
578.100	0.35040	0.35130
646.700	0.32550	0.32630
704.500	0.30320	0.30390
706.200	0.30210	0.30290
736.500	0.28890	0.28960
783.400	0.26670	0.26740
828.300	0.24270	0.24330
864.400	0.21770	0.21830
886.500	0.19710	0.19760
898.200	0.17920	0.17970
901.200	0.17160	0.17200
900.200	0.17020	0.17060
900.700	0.15700	0.15740
894.300	0.13990	0.14030
878.600	0.12210	0.12240
856.400	0.10690	0.10710
836.100	0.09660	0.09680
820.900	0.09020	0.09050
154.600	0.73720	0.24560
191.300	0.71420	0.23790
251.000	0.67810	0.22580
326.500	0.63420	0.21120
404.300	0.58860	0.19600
475.300	0.54640	0.18200
533.200	0.51080	0.17010
574.200	0.48470	0.16140
556.700	0.49560	0.16510
591.400	0.47230	0.15730
640.000	0.43890	0.14620
688.500	0.40110	0.13360
730.000	0.36350	0.12110
761.900	0.32860	0.10940
768.900	0.31630	0.10530
779.500	0.30000	0.09990
782.200	0.29930	0.09970
789.200	0.28160	0.09380
798.800	0.25640	0.08540
803.100	0.23150	0.07710
800.700	0.20630	0.06870
795.700	0.18910	0.06300
793.800	0.18590	0.06190
Source
Nagata I.; Tamura K.: Excess Molar Enthalpies for the Methanol-1-Butanol-Benzene System at 25°C. J.Chem.Eng.Data 33 (1988) 283-285
Source
Nagata I.; Tamura K.: Excess Molar Enthalpies for the Methanol-1-Butanol-Benzene System at 25°C. J.Chem.Eng.Data 33 (1988) 283-285
