$$$Enthalpy of Mixing Data Set 13598	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
Pressure	1.010	bar	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
-5.800	0.01250	0.95000	
-11.300	0.02490	0.90000	
-3.900	0.02520	0.95000	
-16.700	0.03740	0.85000	
-1.500	0.03750	0.95000	
-21.900	0.04980	0.80000	
-7.700	0.05030	0.90000	
-26.900	0.06230	0.75000	
-31.700	0.07480	0.70000	
-3.300	0.07500	0.90000	
-11.500	0.07550	0.85000	
-36.200	0.08720	0.65000	
-40.500	0.09970	0.60000	
-15.300	0.10060	0.80000	
-44.500	0.11210	0.55000	
-5.300	0.11250	0.85000	
-48.200	0.12460	0.50000	
-19.100	0.12580	0.75000	
-51.800	0.13710	0.45000	
-54.900	0.14950	0.40000	
-7.300	0.15000	0.80000	
-22.800	0.15100	0.70000	
-57.700	0.16200	0.35000	
-60.300	0.17440	0.30000	
-26.600	0.17610	0.65000	
-62.600	0.18690	0.25000	
-9.400	0.18750	0.75000	
-64.700	0.19940	0.20000	
-30.500	0.20130	0.60000	
-66.300	0.21180	0.15000	
-67.600	0.22430	0.10000	
-11.600	0.22490	0.70000	
-34.300	0.22640	0.55000	
-68.400	0.23670	0.05000	
-38.000	0.25160	0.50000	
-13.900	0.26240	0.65000	
-41.800	0.27680	0.45000	
-16.100	0.29990	0.60000	
-45.600	0.30190	0.40000	
-49.300	0.32710	0.35000	
-18.500	0.33740	0.55000	
-53.000	0.35220	0.30000	
-20.800	0.37490	0.50000	
-56.700	0.37740	0.25000	
-60.400	0.40260	0.20000	
-23.200	0.41240	0.45000	
-64.200	0.42770	0.15000	
-25.800	0.44990	0.40000	
-67.900	0.45290	0.10000	
-71.700	0.47800	0.05000	
-28.300	0.48740	0.35000	
-30.700	0.52490	0.30000	
-33.300	0.56240	0.25000	
-35.700	0.59980	0.20000	
-38.200	0.63730	0.15000	
-40.600	0.67480	0.10000	
-43.000	0.71230	0.05000	
Source	
Nagata I.; Tamura K.; Miyai K.: Excess molar enthalpies hE of ternary mixtures of (methanol + ethanol + 1-propanol or 2-propanol) at 298.15 K. Fluid Phase Equilib. 149 (1998) 147-161	
Source	
Nagata I.; Tamura K.; Miyai K.: Excess molar enthalpies hE of ternary mixtures of (methanol + ethanol + 1-propanol or 2-propanol) at 298.15 K. Fluid Phase Equilib. 149 (1998) 147-161	
