$$$Enthalpy of Mixing Data Set 9990	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C10H8	128.174	91-20-3	Naphthalene	
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	
-13.900	0.01100	
-39.700	0.01400	
-79.700	0.02400	
-118.000	0.02600	
-168.000	0.02900	
-193.000	0.04100	
-243.000	0.04700	
-294.000	0.05300	
Source	
Yanbukhtina R.A.; Gaile A.A.; Semenov L.V.: Wechselwirkungsenthalpie von N-Methylpyrrolidon mit C9-C12-Arenen. Zh.Prikl.Khim. 61 (1988) 332-336	
Source	
Yanbukhtina R.A.; Gaile A.A.; Semenov L.V.: Wechselwirkungsenthalpie von N-Methylpyrrolidon mit C9-C12-Arenen. Zh.Prikl.Khim. 61 (1988) 332-336	
