$$$Excess Volume Data Set 3139	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H10O	74.123	60-29-7	Diethyl ether	
2	C2H3N	41.053	75-05-8	Acetonitrile	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.0337	0.01080	
-0.0714	0.02510	
-0.1674	0.05430	
-0.2659	0.09300	
-0.3680	0.12830	
-0.3857	0.13620	
-0.5166	0.20450	
-0.6005	0.25040	
-0.6690	0.30200	
-0.6904	0.30570	
-0.7251	0.33590	
-0.7806	0.38920	
-0.7871	0.39450	
-0.8015	0.44470	
-0.8050	0.46730	
-0.8341	0.55720	
-0.7795	0.63970	
-0.7071	0.70560	
-0.6902	0.74820	
-0.6416	0.77120	
-0.5631	0.80200	
-0.5433	0.81900	
-0.3246	0.91090	
-0.2760	0.92450	
-0.1795	0.95540	
-0.1297	0.96720	
Source	
Letcher T.M.; Domanska U.: Excess volumes of (acetonitrile + an ether) at the temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 113-119	
Source	
Letcher T.M.; Domanska U.: Excess volumes of (acetonitrile + an ether) at the temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 113-119	
