$$$Excess Volume Data Set 18
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O	72.107	109-99-9	Tetrahydrofuran
2	C2H4O2	60.053	64-19-7	Acetic acid
Temperature	293.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]
-0.1100	0.08926
-0.2480	0.21547
-0.3060	0.35019
-0.3560	0.43441
-0.3300	0.53168
-0.2620	0.68205
-0.1620	0.82536
-0.0800	0.91180
Source
Kalali H.E.; Demiriz A.M.; Budde J.; Kohler F.; Dallos A.; Ratkovics F.: Excess Gibbs Energies and Excess Volumes of the Mixtures Ethanoic Acid + 1,4-Dioxane and Oxolane. Fluid Phase Equilib. 54 (1990) 111-120
Source
Kalali H.E.; Demiriz A.M.; Budde J.; Kohler F.; Dallos A.; Ratkovics F.: Excess Gibbs Energies and Excess Volumes of the Mixtures Ethanoic Acid + 1,4-Dioxane and Oxolane. Fluid Phase Equilib. 54 (1990) 111-120
