$$$Excess Volume Data Set 9440	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H10O	74.123	71-36-3	1-Butanol	
2	C8H10	106.167	108-38-3	m-Xylene	
Temperature	308.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
0.0770	0.04720	
0.1290	0.09980	
0.1540	0.17270	
0.1580	0.25830	
0.1480	0.33500	
0.1260	0.41090	
0.1090	0.49180	
0.0960	0.55370	
0.0810	0.59890	
0.0670	0.64660	
0.0390	0.75020	
-0.0010	0.87230	
-0.0080	0.92450	
-0.0060	0.97330	
Source	
Bhardwaj U.; Maken S.; Singh K.C.: Excess Volumes of 1-Butanol, 2-Butanol, 2-Methylpropan-1-ol, and 2-Methylpropan-2-ol with Xylenes at 308.15 K. J.Chem.Eng.Data 41 (1996) 1043-1045	
Source	
Bhardwaj U.; Maken S.; Singh K.C.: Excess Volumes of 1-Butanol, 2-Butanol, 2-Methylpropan-1-ol, and 2-Methylpropan-2-ol with Xylenes at 308.15 K. J.Chem.Eng.Data 41 (1996) 1043-1045	
