$$$Excess Volume Data Set 41775
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O	72.107	109-99-9	Tetrahydrofuran
2	C4H8O2	88.106	141-78-6	Ethyl acetate
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]
0.0310	0.07180
0.0700	0.18660
0.0870	0.24680
0.1040	0.33840
0.1070	0.45740
0.1020	0.53760
0.0990	0.58570
0.0790	0.68400
0.0720	0.74880
0.0560	0.84420
0.0280	0.93110
Source
Suri S.K.; Chawla B.: Molar Excess Volumes of Mixing of Tetrahydrofuran with Some Aliphatic Compounds Having Different Functional Groups. J.Chem.Eng.Data 26 (1981) 268-270
Source
Suri S.K.; Chawla B.: Molar Excess Volumes of Mixing of Tetrahydrofuran with Some Aliphatic Compounds Having Different Functional Groups. J.Chem.Eng.Data 26 (1981) 268-270
