$$$Excess Volume Data Set 6256	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	592-41-6	1-Hexene	
2	C8H10	106.167	106-42-3	p-Xylene	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.1500	0.13050	
-0.1600	0.14790	
-0.2200	0.22440	
-0.2600	0.27960	
-0.2900	0.30530	
-0.3400	0.41300	
-0.3500	0.47650	
-0.3500	0.52270	
-0.3600	0.57470	
-0.3300	0.65230	
-0.3300	0.67300	
-0.3000	0.72960	
-0.2700	0.76190	
-0.2100	0.84530	
-0.1600	0.89810	
-0.1200	0.92190	
-0.0900	0.94580	
Source	
Tojo J.; Diaz C.: Densities and Refractive Indices for 1-Hexene + o-Xylene, + m-Xylene, + p-Xylene, and + Ethylbenzene. J.Chem.Eng.Data 40 (1995) 96-98	
Source	
Tojo J.; Diaz C.: Densities and Refractive Indices for 1-Hexene + o-Xylene, + m-Xylene, + p-Xylene, and + Ethylbenzene. J.Chem.Eng.Data 40 (1995) 96-98	
