$$$Excess Volume Data Set 5375	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	592-41-6	1-Hexene	
2	C2H6O	46.069	64-17-5	Ethanol	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
0.0340	0.10050	
0.0524	0.15820	
0.0895	0.24140	
0.1037	0.28070	
0.1587	0.39780	
0.1862	0.46220	
0.2138	0.54880	
0.2366	0.68840	
0.2306	0.75460	
0.2092	0.80300	
0.1817	0.85340	
0.0994	0.94050	
Source	
Letcher T.M.; Schoonbaert F.E.Z.; Mercer-Chalmers J.; Prasad A.K.: Excess Enthalpies and Volumes of Binary Mixtures of 1-Alkenes with Methanol and with Ethanol. Thermochim.Acta 171 (1990) 147-152	
Source	
Letcher T.M.; Schoonbaert F.E.Z.; Mercer-Chalmers J.; Prasad A.K.: Excess Enthalpies and Volumes of Binary Mixtures of 1-Alkenes with Methanol and with Ethanol. Thermochim.Acta 171 (1990) 147-152	
