$$$Excess Volume Data Set 45553	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]	
0.2760	0.05560	0.09680	
0.3250	0.13090	0.08910	
0.3730	0.22260	0.07680	
0.4380	0.30960	0.06830	
0.4550	0.41110	0.05890	
0.4510	0.58240	0.04180	
0.4580	0.50970	0.04980	
0.3740	0.70980	0.02940	
0.2980	0.79510	0.02080	
0.3620	0.10550	0.18830	
0.3670	0.19220	0.16290	
0.3760	0.31140	0.13890	
0.3670	0.40640	0.11860	
0.3740	0.48210	0.10350	
0.4250	0.05030	0.29200	
0.3730	0.12120	0.26740	
0.3270	0.23170	0.22820	
0.3230	0.31580	0.20330	
0.2830	0.40530	0.17930	
0.2600	0.57270	0.12880	
0.2390	0.65080	0.10530	
0.1440	0.82640	0.05200	
0.4070	0.07210	0.46620	
0.3380	0.12410	0.44010	
0.2220	0.25080	0.37690	
0.1360	0.39850	0.30260	
0.0970	0.49560	0.25280	
0.0870	0.61150	0.19470	
0.0810	0.69160	0.15600	
0.0720	0.76170	0.12050	
0.0480	0.80860	0.09730	
0.0370	0.88110	0.06040	
0.0310	0.90490	0.04830	
0.2700	0.10010	0.63040	
0.1730	0.17280	0.57760	
0.1300	0.20880	0.55420	
0.0510	0.27600	0.50430	
-0.0400	0.39920	0.41850	
-0.0780	0.49640	0.35080	
-0.0930	0.61300	0.26990	
-0.0780	0.69470	0.21290	
-0.0590	0.79800	0.14150	
0.1080	0.05690	0.84760	
0.0430	0.10800	0.80480	
-0.0110	0.15720	0.75840	
-0.0590	0.19850	0.71880	
-0.1820	0.34320	0.58900	
-0.2240	0.40960	0.53100	
-0.2470	0.48360	0.46440	
-0.2460	0.57980	0.37720	
-0.2210	0.67610	0.29070	
-0.1890	0.74430	0.22950	
-0.1650	0.79730	0.18190	
-0.1290	0.84330	0.14060	
0.0390	0.04700	0.90530	
-0.0230	0.09340	0.86120	
-0.0440	0.11740	0.83840	
Source	
Gianni P.; Lepori L.; Matteoli E.: Excess Gibbs energies and volumes of the ternary system chloroform + tetrahydrofuran + cyclohexane at 298.15 K. Fluid Phase Equilib. 297 (2010) 52-61	
Source	
Gianni P.; Lepori L.; Matteoli E.: Excess Gibbs energies and volumes of the ternary system chloroform + tetrahydrofuran + cyclohexane at 298.15 K. Fluid Phase Equilib. 297 (2010) 52-61	
