$$$Excess Volume Data Set 20102
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C2H6O	46.069	64-17-5	Ethanol
3	C2H6O2	62.068	107-21-1	1,2-Ethanediol
Temperature	288.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]
-0.1854	0.95000	0.04000
-0.3225	0.92500	0.06000
-0.4185	0.90000	0.08000
-0.5220	0.87500	0.10000
-0.6116	0.85000	0.12000
-0.7416	0.80000	0.16000
-0.8236	0.75000	0.20000
-0.8717	0.70000	0.24000
-0.8914	0.62500	0.30000
-0.8723	0.50000	0.40000
-0.6588	0.25000	0.60000
-0.1353	0.96000	0.03000
-0.2306	0.94000	0.04500
-0.3354	0.92000	0.06000
-0.4059	0.90000	0.07500
-0.6240	0.84000	0.12000
-0.7126	0.80000	0.15000
-0.7878	0.76000	0.18000
-0.8541	0.70000	0.22500
-0.8787	0.60000	0.30000
-0.8551	0.50000	0.37500
-0.7872	0.40000	0.45000
-0.5980	0.20000	0.60000
-0.1465	0.95500	0.03000
-0.3622	0.91000	0.06000
-0.4799	0.88000	0.08000
-0.5750	0.85000	0.10000
-0.7508	0.77500	0.15000
-0.8395	0.70000	0.20000
-0.8582	0.55000	0.30000
-0.7444	0.400000.40000
-0.6869	0.25000	0.50000
-0.1484	0.95000	0.02500
-0.3354	0.90000	0.05000
-0.4966	0.85000	0.07500
-0.6208	0.80000	0.10000
-0.7021	0.75000	0.12500
-0.7511	0.70000	0.15000
-0.8072	0.60000	0.20000
-0.7215	0.40000	0.30000
-0.5695	0.20000	0.40000
-0.1130	0.95500	0.01500
-0.2087	0.92500	0.02500
-0.2489	0.91000	0.03000
-0.3421	0.88000	0.04000
-0.4194	0.85000	0.05000
-0.5568	0.77500	0.07500
-0.6429	0.70000	0.10000
-0.7003	0.55000	0.15000
-0.6558	0.40000	0.20000
-0.5730	0.250000.25000
-0.0906	0.96000	0.01000
-0.1426	0.94000	0.01500
-0.2333	0.90000	0.02500
-0.3969	0.84000	0.04000
-0.4727	0.80000	0.05000
-0.5241	0.76000	0.06000
-0.5901	0.70000	0.07500
-0.6334	0.60000	0.10000
-0.5945	0.40000	0.15000
-0.4575	0.200000.20000
-0.1062	0.95000	0.01000
-0.1706	0.92500	0.01500
-0.2325	0.90000	0.02000
-0.3394	0.85000	0.03000
-0.4372	0.80000	0.04000
-0.5018	0.75000	0.05000
-0.5401	0.70000	0.06000
-0.5808	0.62500	0.07500
-0.5805	0.50000	0.10000
-0.4458	0.25000	0.15000
Source
Parfenyuk E.V.; Chistyakov Yu.V.; Krestov G.A.: Physico-chemical properties of ternary water-alcohol-glycol systems. I. Density of water-ethanol-ethylene glycol system. Oniitekhim  (1982) 1-16
$$$Excess Volume Data Set 20103
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C2H6O	46.069	64-17-5	Ethanol
3	C2H6O2	62.068	107-21-1	1,2-Ethanediol
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]
-0.1909	0.95000	0.04000
-0.3186	0.92500	0.06000
-0.4094	0.90000	0.08000
-0.5088	0.87500	0.10000
-0.5925	0.85000	0.12000
-0.7128	0.80000	0.16000
-0.7974	0.75000	0.20000
-0.8465	0.70000	0.24000
-0.8887	0.62500	0.30000
-0.8911	0.50000	0.40000
-0.7085	0.25000	0.60000
-0.1396	0.96000	0.03000
-0.2248	0.94000	0.04500
