$$$Excess Volume Data Set 12183	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CO2	44.010	124-38-9	Carbon dioxide	
2	C6H6	78.114	71-43-2	Benzene	
Temperature	299.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-6.0308	0.30737	
-8.4936	0.48870	
-9.9203	0.62100	
-11.1888	0.82756	
-10.4023	0.89523	
-8.9986	0.92866	
-7.3110	0.94966	
Source	
Francis A.W.: Ternary Systems of Liquid Carbon Dioxide. J.Phys.Chem. 58 (1954) 1099-1114	
Source	
Francis A.W.: Ternary Systems of Liquid Carbon Dioxide. J.Phys.Chem. 58 (1954) 1099-1114	
