$$$Excess Volume Data Set 6812
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C2H3N	41.053	75-05-8	Acetic acid butyl ester
Temperature	303.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]
-0.0764	0.09810
-0.1231	0.20030
-0.1606	0.30030
-0.1697	0.40300
-0.1777	0.50260
-0.1683	0.59720
-0.1477	0.69770
-0.1217	0.79870
-0.0736	0.89850
Source
Oswal S.L.; Patel N.B.: 1. Alkanenitriles with Alkyl Acetates. J.Chem.Eng.Data 40 (1995) 840-844
Source
Oswal S.L.; Patel N.B.: 1. Alkanenitriles with Alkyl Acetates. J.Chem.Eng.Data 40 (1995) 840-844
