$$$Excess Volume Data Set 536	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C8H10	106.167	108-38-3	m-Xylene	
Temperature	303.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
0.0165	0.06560	
0.0426	0.18550	
0.0726	0.29260	
0.0990	0.41330	
0.1181	0.50930	
0.1320	0.61280	
0.1286	0.70320	
0.0976	0.87350	
0.0425	0.94880	
Source	
Al-Azzawi S.F.; Awwad A.M.: Excess Volumes of Ethyl or Butyl Ethanoate + Some Aromatic Hydrocarbons. Int.Data Series Sel.Data Mixtures Ser. A 1990 (1990) 130-141	
Source	
Al-Azzawi S.F.; Awwad A.M.: Excess Volumes of Ethyl or Butyl Ethanoate + Some Aromatic Hydrocarbons. Int.Data Series Sel.Data Mixtures Ser. A 1990 (1990) 130-141	
