$$$Excess Volume Data Set 13518
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CH4O	32.042	67-56-1	Methanol
3	C6H12	84.161	110-82-7	Cyclohexane
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]
0.0527	0.89080	0.08140
0.3431	0.81520	0.08460
0.4112	0.69010	0.17200
0.6170	0.61190	0.17700
0.7299	0.51550	0.19250
0.8317	0.43550	0.19360
0.8444	0.33690	0.19910
0.8144	0.22980	0.21240
0.7095	0.12640	0.22630
0.05147	0.71090	0.25580
0.02412	0.62460	0.31330
0.24303	0.54730	0.33130
0.4568	0.46830	0.33900
0.3672	0.24280	0.58650
0.5180	0.16400	0.60350
0.5925	0.08840	0.61980
-0.05161	0.29340	0.65730
0.17222	0.22650	0.67460
0.35554	0.15230	0.69600
0.5148	0.07830	0.70890
-0.01392	0.20970	0.74380
0.20843	0.14100	0.76330
0.4131	0.07300	0.77680
0.03872	0.12870	0.82710
0.26815	0.06590	0.84280
0.12165	0.06250	0.89230
0.5757	0.38850	0.34200
0.6395	0.29720	0.36000
0.7235	0.22570	0.36650
0.6929	0.11830	0.37390
0.18538	0.48840	0.38060
0.23423	0.40230	0.44200
-0.05041	0.49770	0.44560
0.21137	0.41790	0.46130
0.3733	0.34650	0.47060
0.5290	0.26720	0.48570
0.6137	0.18560	0.49770
0.6417	0.11850	0.49780
0.3186	0.30120	0.51810
-0.0597	0.38470	0.56130
0.1659	0.31950	0.56980
Source
Campbell A.N.; Anand S.C.: Densities, Excess Volumes, Surface Tensions, Viscosities, and Dielectric Constants of the Systems: Methanol-Cyclohexane, Acetone-Methanol, Acetone-Cyclohexane, and Methanol-Cyclohexane-Acetone. Can.J.Chem. 50 (1972) 1109-1114
Source
Campbell A.N.; Anand S.C.: Densities, Excess Volumes, Surface Tensions, Viscosities, and Dielectric Constants of the Systems: Methanol-Cyclohexane, Acetone-Methanol, Acetone-Cyclohexane, and Methanol-Cyclohexane-Acetone. Can.J.Chem. 50 (1972) 1109-1114
