$$$Excess Volume Data Set 2130
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	592-41-6	1-Hexene
2	C3H8O	60.096	67-63-0	2-Propanol
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]
0.0210	0.05570
0.0610	0.12940
0.1150	0.19500
0.1850	0.26800
0.2760	0.36940
0.3820	0.49870
0.4270	0.60390
0.3970	0.72680
0.2960	0.82540
0.2050	0.89100
Source
Letcher T.M.; Mercer-Chalmers J.; Govender U.P.; Radloff S.: Excess molar enthalpies and excess molar volumes of binary mixtures of 1-alkenes with 1-propanol and 2-propanol. Thermochim.Acta 224 (1993) 33-38
Source
Letcher T.M.; Mercer-Chalmers J.; Govender U.P.; Radloff S.: Excess molar enthalpies and excess molar volumes of binary mixtures of 1-alkenes with 1-propanol and 2-propanol. Thermochim.Acta 224 (1993) 33-38
