$$$Excess Volume Data Set 12768
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C8H10	106.167	106-42-3	p-Xylene
2	C4H8O2S	120.172	126-33-0	Sulfolane
Temperature	298.150	K
Pressure	1.0132	bar
Excess Volume [cm3/mol]	x1 [mol/mol]
-0.1480	0.04300
-0.2530	0.07530
-0.3480	0.10500
-0.5590	0.17780
-0.6900	0.23160
-0.7770	0.27680
-0.8490	0.32240
-0.9160	0.37620
-0.9220	0.38640
-0.9670	0.45550
-0.9750	0.49680
-0.9610	0.54480
-0.9600	0.56430
-0.9200	0.62670
-0.8820	0.66790
-0.8690	0.69060
-0.8180	0.72420
-0.7190	0.79130
-0.5790	0.85410
-0.4880	0.88330
-0.3000	0.93670
Source
Yu Y.-X.; Li Y.-G.: Excess molar volumes of sulfolane in binary mixtures with six aromatic hydrocarbons at 298.15 K. Fluid Phase Equilib. 147 (1998) 207-213
Source
Yu Y.-X.; Li Y.-G.: Excess molar volumes of sulfolane in binary mixtures with six aromatic hydrocarbons at 298.15 K. Fluid Phase Equilib. 147 (1998) 207-213
