$$$Excess Volume Data Set 5023	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]	
0.27596	0.31506	0.16017	
0.4264	0.30217	0.29033	
0.5272	0.32538	0.44989	
0.2863	0.48595	0.14996	
0.38635	0.46792	0.23450	
0.4404	0.51740	0.27058	
0.2647	0.68835	0.12172	
0.3789	0.41302	0.22585	
0.4260	0.41029	0.26891	
0.12473	0.16109	0.08568	
0.5081	0.24263	0.62362	
0.1713	0.83095	0.06635	
Source	
Wei I.-C.; Rowley R.L.: Ternary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 336-340	
Source	
Wei I.-C.; Rowley R.L.: Ternary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 336-340	
