$$$Excess Volume Data Set 5014	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]	
0.8249	0.25053	0.28739	
0.7526	0.41757	0.29405	
0.5225	0.50561	0.32198	
0.6220	0.24050	0.48095	
0.5041	0.29539	0.49803	
0.41955	0.39599	0.45058	
0.27415	0.21835	0.66559	
0.6769	0.31866	0.39497	
0.5858	0.41091	0.37378	
0.7396	0.14436	0.17991	
0.27426	0.79939	0.13037	
0.06548	0.13074	0.81011	
Source	
Wei I.-C.; Rowley R.L.: Ternary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 336-340	
Source	
Wei I.-C.; Rowley R.L.: Ternary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 336-340	
