$$$Excess Volume Data Set 475	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	278.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.02542	0.03750	
-0.14885	0.13150	
-0.1969	0.18780	
-0.3480	0.29450	
-0.36195	0.43990	
-0.4355	0.54890	
-0.30077	0.65820	
-0.25906	0.76310	
-0.1464	0.89960	
Source	
Anantaraman A.V.: I. Density and Viscosity of Binary Mixtures of n-Methylpyrrolidone - Tetrahydrofuran and Propylene Carbonate - Acetronitrile. Can.J.Chem. 64 (1986) 46-50	
Source	
Anantaraman A.V.: I. Density and Viscosity of Binary Mixtures of n-Methylpyrrolidone - Tetrahydrofuran and Propylene Carbonate - Acetronitrile. Can.J.Chem. 64 (1986) 46-50	
