$$$Excess Volume Data Set 62222	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
2	CHCl3	119.377	67-66-3	Chloroform	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.2052	0.04570	
-0.3455	0.08080	
-0.4633	0.11500	
-0.5762	0.15880	
-0.6646	0.20320	
-0.7088	0.23590	
-0.7832	0.28140	
-0.7403	0.32640	
-0.7270	0.36450	
-0.7028	0.40090	
-0.6840	0.41920	
-0.6544	0.44990	
-0.6431	0.45760	
-0.6257	0.47340	
-0.6014	0.49410	
-0.5819	0.51030	
-0.5531	0.53370	
-0.5090	0.56900	
-0.3738	0.67900	
-0.3168	0.72670	
-0.2675	0.76790	
-0.2041	0.82000	
-0.1106	0.89550	
-0.0507	0.94640	
Source	
Gong H.; Jiang Y.; Wang Y.; Chen M.; Zheng G.: Excess Volumes for (Tetrachloromethane + Lewis Bases) and for (Trichloromethane + Lewis Bases) at 298.15 K. Wuli-Huaxue-Xuebao 7 (1991) 49-56	
Source	
Gong H.; Jiang Y.; Wang Y.; Chen M.; Zheng G.: Excess Volumes for (Tetrachloromethane + Lewis Bases) and for (Trichloromethane + Lewis Bases) at 298.15 K. Wuli-Huaxue-Xuebao 7 (1991) 49-56	
