$$$Excess Volume Data Set 3442	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	592-41-6	1-Hexene	
2	C6H14	86.177	110-54-3	Hexane	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
0.0350	0.11110	
0.0490	0.19400	
0.0520	0.25040	
0.0530	0.32510	
0.0570	0.37070	
0.0540	0.44500	
0.0520	0.50140	
0.0480	0.59020	
0.0390	0.68900	
0.0240	0.80630	
0.0110	0.90610	
Source	
Letcher T.M.: The Excess Volumes of some Mixtures of Saturated and Unsaturated C6 Hydrocarbons.. J.Chem.Thermodyn. 7 (1975) 205-209	
Source	
Letcher T.M.: The Excess Volumes of some Mixtures of Saturated and Unsaturated C6 Hydrocarbons.. J.Chem.Thermodyn. 7 (1975) 205-209	
