$$$Excess Volume Data Set 5852
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O	72.107	109-99-9	Tetrahydrofuran
2	C8H10	106.167	108-38-3	m-Xylene
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]
-0.1290	0.17510
-0.1720	0.25080
-0.1930	0.30560
-0.2020	0.32860
-0.2210	0.39010
-0.2320	0.46320
-0.2330	0.55060
-0.2140	0.67790
-0.1570	0.81660
-0.0990	0.90110
Source
Mahl B.S.; Kooner Z.S.; Khurma J.R.: Thermodynamic Evidence for Complex Formation between Tetrahydrofuran and Aromatic Hydrocarbons. J.Chem.Eng.Data 23 (1978) 150-152
Source
Mahl B.S.; Kooner Z.S.; Khurma J.R.: Thermodynamic Evidence for Complex Formation between Tetrahydrofuran and Aromatic Hydrocarbons. J.Chem.Eng.Data 23 (1978) 150-152
