$$$Excess Volume Data Set 1412	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.04758	0.10900	
-0.06732	0.15200	
-0.08024	0.19600	
-0.1002	0.25250	
-0.1114	0.29940	
-0.1269	0.35430	
-0.1374	0.40120	
-0.1500	0.50310	
-0.1548	0.55100	
-0.1504	0.59960	
-0.1399	0.70130	
-0.1261	0.75380	
-0.1113	0.79560	
-0.08961	0.84610	
-0.05969	0.90720	
-0.03383	0.95060	
Source	
Matous J.; Zivny A.; Biros J.: Thermodynamic Mixing Functions of the System Tetrahydrofuran (1)-Methanol (2). Collect.Czech.Chem.Commun. 37 (1972) 3960-3964	
Source	
Matous J.; Zivny A.; Biros J.: Thermodynamic Mixing Functions of the System Tetrahydrofuran (1)-Methanol (2). Collect.Czech.Chem.Commun. 37 (1972) 3960-3964	
